band_1_label,band_2_label,trait_label,metric,median,p025,p975,mean,sd,n
23–24°N,24–26°N,Ballooning-capable,jaccard_total,0.5081967213114754,0.43333333333333335,0.7894736842105263,0.5754007886053415,0.11954607967952363,5000
23–24°N,24–26°N,Ballooning-capable,jaccard_turnover,0.21052631578947367,0.0,0.27906976744186046,0.18235580365208667,0.07995728411964895,5000
23–24°N,24–26°N,Ballooning-capable,jaccard_nestedness,0.277825711820535,0.19074333800841514,0.75,0.3930449849532548,0.1834818028614874,5000
23–24°N,24–26°N,Ballooning-capable,sorensen_total,0.34065934065934067,0.2765957446808511,0.6521739130434783,0.4142525206273072,0.12357284071735966,5000
23–24°N,24–26°N,Ballooning-capable,simpson_replacement,0.11764705882352941,0.0,0.16216216216216217,0.10238146802727854,0.04679395296887681,5000
23–24°N,24–26°N,Ballooning-capable,sorensen_nestedness,0.2043956043956044,0.1416666666666667,0.6,0.31187105260002873,0.15881873943312325,5000
23–24°N,24–26°N,Non-ballooning,jaccard_total,0.6404494382022472,0.5604395604395604,0.7804878048780488,0.6485481101641836,0.06548159390804818,5000
23–24°N,24–26°N,Non-ballooning,jaccard_turnover,0.525,0.38461538461538464,0.6216216216216216,0.5195829018408101,0.06478134993546561,5000
23–24°N,24–26°N,Non-ballooning,jaccard_nestedness,0.10199087618386474,0.03760514596734288,0.27151898734177216,0.12896520832337335,0.07026137813739544,5000
23–24°N,24–26°N,Non-ballooning,sorensen_total,0.47107438016528924,0.3893129770992366,0.64,0.4834600861124605,0.07378469958919416,5000
23–24°N,24–26°N,Non-ballooning,simpson_replacement,0.3559322033898305,0.23809523809523808,0.45098039215686275,0.3535201240805686,0.05835583878373827,5000
23–24°N,24–26°N,Non-ballooning,sorensen_nestedness,0.1080432172869148,0.03714565004887588,0.2755102040816327,0.12993996203189193,0.07206857958955648,5000
24–26°N,26–28°N,Ballooning-capable,jaccard_total,0.625,0.46153846153846156,0.7948717948717948,0.6260209284515544,0.08410013466592461,5000
24–26°N,26–28°N,Ballooning-capable,jaccard_turnover,0.38461538461538464,0.11764705882352941,0.6666666666666666,0.39377602341617784,0.14767662969602224,5000
24–26°N,26–28°N,Ballooning-capable,jaccard_nestedness,0.2488095238095238,0.0,0.5494505494505495,0.2322449050353766,0.16012784787466716,5000
24–26°N,26–28°N,Ballooning-capable,sorensen_total,0.45454545454545453,0.3,0.6595744680851063,0.46115005448882795,0.0905789918058549,5000
24–26°N,26–28°N,Ballooning-capable,simpson_replacement,0.23809523809523808,0.0625,0.5,0.25598379684194594,0.1186190121064639,5000
