band_1,band_1_label,band_2,band_2_label,adjacent,trait_class,trait_label,metric,n,mean,median,sd,p025,p975
23-24N,23–24°N,28-30N,28–30°N,False,ballooning,Ballooning-capable,shared_genera,5000,10.3264,10.0,1.4073589349680369,8.0,13.0
23-24N,23–24°N,28-30N,28–30°N,False,ballooning,Ballooning-capable,unique_to_band_1,5000,45.6736,46.0,1.4073589349680369,43.0,48.0
23-24N,23–24°N,28-30N,28–30°N,False,ballooning,Ballooning-capable,unique_to_band_2,5000,1.1502,1.0,0.6906050586763856,0.0,2.0
23-24N,23–24°N,28-30N,28–30°N,False,ballooning,Ballooning-capable,jaccard_total,5000,0.81931026272578,0.8214285714285714,0.02454613798769487,0.7719298245614035,0.8620689655172413
23-24N,23–24°N,28-30N,28–30°N,False,ballooning,Ballooning-capable,jaccard_turnover,5000,0.17316088574823868,0.16666666666666666,0.0967082188946372,0.0,0.3076923076923077
23-24N,23–24°N,28-30N,28–30°N,False,ballooning,Ballooning-capable,jaccard_nestedness,5000,0.6461493769775413,0.6531713900134952,0.09496414221025289,0.5371352785145889,0.8392857142857143
23-24N,23–24°N,28-30N,28–30°N,False,ballooning,Ballooning-capable,sorensen_total,5000,0.6946602589088723,0.696969696969697,0.03538175970652092,0.6285714285714286,0.7575757575757576
23-24N,23–24°N,28-30N,28–30°N,False,ballooning,Ballooning-capable,simpson_replacement,5000,0.09779470140970141,0.09090909090909091,0.0569227427266628,0.0,0.18181818181818182
23-24N,23–24°N,28-30N,28–30°N,False,ballooning,Ballooning-capable,sorensen_nestedness,5000,0.5968655574991709,0.5931372549019608,0.06029419624496306,0.5142857142857142,0.7230769230769231
23-24N,23–24°N,28-30N,28–30°N,False,non_ballooning,Non-ballooning,shared_genera,5000,17.0648,17.0,2.131363296554668,13.0,21.0
23-24N,23–24°N,28-30N,28–30°N,False,non_ballooning,Non-ballooning,unique_to_band_1,5000,52.9352,53.0,2.131363296554668,49.0,57.0
23-24N,23–24°N,28-30N,28–30°N,False,non_ballooning,Non-ballooning,unique_to_band_2,5000,15.1092,15.0,3.568448139517357,8.0,21.0
23-24N,23–24°N,28-30N,28–30°N,False,non_ballooning,Non-ballooning,jaccard_total,5000,0.7996087475675437,0.797752808988764,0.02271926260988658,0.7582417582417582,0.8470588235294118
23-24N,23–24°N,28-30N,28–30°N,False,non_ballooning,Non-ballooning,jaccard_turnover,5000,0.6323231239424635,0.64,0.05392910392397381,0.5142857142857142,0.7142857142857143
23-24N,23–24°N,28-30N,28–30°N,False,non_ballooning,Non-ballooning,jaccard_nestedness,5000,0.16728562362508032,0.15959079283887467,0.049829660617582816,0.10132240640715218,0.2816091954022989
23-24N,23–24°N,28-30N,28–30°N,False,non_ballooning,Non-ballooning,sorensen_total,5000,0.6667236567071618,0.6635514018691588,0.031730325237228366,0.6106194690265486,0.7346938775510204
