threshold,grid_cell_id,period_id,latitude_band,ballooning_records,ballooning_events,ballooning_genera,n0_records,n0_events,n0_genera,paired_eligible
C1_D1_only,BJA25K_C+0005_R-0011,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0011,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0011,P2011_2015,24-26N,0,0,0,98,9,6,0
C1_D1_only,BJA25K_C+0005_R-0011,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0011,P2021_2025,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0012,P2001_2005,24-26N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0005_R-0012,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0012,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0012,P2016_2020,24-26N,0,0,0,4,1,1,0
C1_D1_only,BJA25K_C+0005_R-0012,P2021_2025,24-26N,0,0,0,3,3,3,0
C1_D1_only,BJA25K_C+0005_R-0013,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0013,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0013,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0013,P2016_2020,24-26N,1,1,1,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0013,P2021_2025,24-26N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0006_R-0003,P2001_2005,26-28N,0,0,0,2,2,1,0
C1_D1_only,BJA25K_C+0006_R-0003,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0003,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0003,P2016_2020,26-28N,0,0,0,4,3,2,0
C1_D1_only,BJA25K_C+0006_R-0003,P2021_2025,26-28N,0,0,0,2,2,2,0
C1_D1_only,BJA25K_C+0006_R-0004,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0004,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0004,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0004,P2016_2020,26-28N,0,0,0,14,5,3,0
C1_D1_only,BJA25K_C+0006_R-0004,P2021_2025,26-28N,0,0,0,3,2,1,0
C1_D1_only,BJA25K_C+0006_R-0006,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0006,P2006_2010,26-28N,0,0,0,4,3,3,0
C1_D1_only,BJA25K_C+0006_R-0006,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0006,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0006,P2021_2025,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0007,P2001_2005,26-28N,11,7,4,5,4,3,1
C1_D1_only,BJA25K_C+0006_R-0007,P2006_2010,26-28N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0006_R-0007,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0007,P2016_2020,26-28N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0006_R-0007,P2021_2025,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0009,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0009,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0009,P2011_2015,24-26N,0,0,0,9,2,4,0
C1_D1_only,BJA25K_C+0006_R-0009,P2016_2020,24-26N,0,0,0,7,1,2,0
C1_D1_only,BJA25K_C+0006_R-0009,P2021_2025,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0011,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0011,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0011,P2011_2015,24-26N,0,0,0,17,3,4,0
C1_D1_only,BJA25K_C+0006_R-0011,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0011,P2021_2025,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0012,P2001_2005,24-26N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0006_R-0012,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0012,P2011_2015,24-26N,0,0,0,46,4,5,0
C1_D1_only,BJA25K_C+0006_R-0012,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0012,P2021_2025,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0013,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0013,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0006_R-0013,P2011_2015,24-26N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0006_R-0013,P2016_2020,24-26N,0,0,0,2,2,2,0
C1_D1_only,BJA25K_C+0006_R-0013,P2021_2025,24-26N,0,0,0,2,2,2,0
C1_D1_only,BJA25K_C+0007_R-0005,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0005,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0005,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0005,P2016_2020,26-28N,2,2,1,4,2,2,0
C1_D1_only,BJA25K_C+0007_R-0005,P2021_2025,26-28N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0007_R-0008,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0008,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0008,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0008,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0008,P2021_2025,24-26N,0,0,0,11,10,5,0
C1_D1_only,BJA25K_C+0007_R-0009,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0009,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0009,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0009,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0009,P2021_2025,24-26N,2,2,2,3,3,2,0
C1_D1_only,BJA25K_C+0007_R-0010,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0010,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0010,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0010,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0010,P2021_2025,24-26N,1,1,1,1,1,1,0
C1_D1_only,BJA25K_C+0007_R-0011,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0011,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0011,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0011,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0011,P2021_2025,24-26N,1,1,1,2,2,2,0
C1_D1_only,BJA25K_C+0007_R-0013,P2001_2005,24-26N,0,0,0,3,2,2,0
C1_D1_only,BJA25K_C+0007_R-0013,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0013,P2011_2015,24-26N,3,2,3,14,5,5,0
C1_D1_only,BJA25K_C+0007_R-0013,P2016_2020,24-26N,6,4,1,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0013,P2021_2025,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0014,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0014,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0014,P2011_2015,24-26N,6,3,3,68,24,8,1
C1_D1_only,BJA25K_C+0007_R-0014,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0007_R-0014,P2021_2025,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0005,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0005,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0005,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0005,P2016_2020,26-28N,0,0,0,7,7,4,0
C1_D1_only,BJA25K_C+0008_R-0005,P2021_2025,26-28N,2,2,1,5,5,3,0
C1_D1_only,BJA25K_C+0008_R-0006,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0006,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0008_R-0006,P2011_2015,,0,0,0,0,0,0,0
