threshold,pair_id,grid_cell_id,period_1,period_2,latitude_band,common_event_resample_n,resampled_delta_simpson_C3_minus_N0_median,resampled_delta_simpson_C3_minus_N0_q025,resampled_delta_simpson_C3_minus_N0_q975,resampled_delta_jaccard_C3_minus_N0_median,delta_mean_extended_stress_composite_z_period2_minus_period1
C3_D1_D3_primary,C3_D1_D3_primary_TPAIR_0003,BJA25K_C+0013_R-0016,P2011_2015,P2016_2020,24-26N,8,0.0,-0.33333333333333337,0.4047619047619048,0.025210084033613467,0.11767237075121767
C3_D1_D3_primary,C3_D1_D3_primary_TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,24-26N,8,0.0,-0.5,0.43333333333333335,0.0,-0.08948203204661655
C3_D1_D3_primary,C3_D1_D3_primary_TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,23-24N,10,0.46666666666666673,-0.09999999999999998,0.8,0.21818181818181825,0.5599124418503061
C3_D1_D3_primary,C3_D1_D3_primary_TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,23-24N,3,-0.5,-1.0,0.16666666666666663,-0.16666666666666663,0.05883779392987841
C3_D1_D3_primary,C3_D1_D3_primary_TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,23-24N,12,0.028571428571428525,-0.39999999999999997,0.5,-0.030303030303030276,0.145602522706559
C3_D1_D3_primary,C3_D1_D3_primary_TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,23-24N,8,0.30000000000000004,-0.13333333333333341,0.6666666666666667,0.22539682539682543,-0.17430123239279613
C3_D1_D3_primary,C3_D1_D3_primary_TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,23-24N,5,0.08333333333333337,-0.5,0.6666666666666667,0.04761904761904767,-0.054602518275765205
C3_D1_D3_primary,C3_D1_D3_primary_TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,30-32N,4,-0.6666666666666667,-1.0,-0.33333333333333337,-0.33333333333333337,-0.22045956284893367
C3_D1_D3_primary,C3_D1_D3_primary_TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,30-32N,15,0.0,-0.16666666666666669,0.3333333333333333,0.09999999999999998,-0.16188187493570871
C3_D1_D3_primary,C3_D1_D3_primary_TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,30-32N,10,0.16666666666666669,-0.3333333333333333,0.6666666666666666,0.15000000000000002,-0.3653233300123664
C3_D1_D3_primary,C3_D1_D3_primary_TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,30-32N,10,-0.25,-0.5,0.09999999999999998,-0.1428571428571429,-0.29994943214222236
C3_D1_D3_primary,C3_D1_D3_primary_TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,30-32N,131,0.05882352941176469,-0.10980392156862746,0.19852941176470587,0.10869565217391303,-0.384901072480376
C3_D1_D3_primary,C3_D1_D3_primary_TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,30-32N,20,-0.5142857142857143,-0.8,-0.30000000000000004,-0.4,-0.12316544655578276
