true_stress_effect,simulations,probability_estimate_positive,exact_test_positive_power_p_lt_0_05,median_estimated_effect,estimated_effect_q025,estimated_effect_q975,median_exact_pvalue
0.0,2000,0.47,0.0285,-0.006373714666137394,-0.16866212780573173,0.15843519867297653,0.4833984375
0.05,2000,0.713,0.104,0.04900719265508901,-0.11550917636556067,0.22140751098655395,0.4130859375
0.1,2000,0.8735,0.2185,0.10097231349196956,-0.0676254963702649,0.2771364994483953,0.2216796875
0.15,2000,0.9615,0.3585,0.1524042882166885,-0.017904320347670918,0.30667555097206384,0.098876953125
0.2,2000,0.9895,0.557,0.20436132380740435,0.031044350902003782,0.37296853355412396,0.036865234375
0.25,2000,0.999,0.737,0.25122909828547935,0.08154794196129453,0.4242373455505452,0.01806640625
0.3,2000,0.9995,0.856,0.3007624253244258,0.1323623049507017,0.46508523301509724,0.0087890625
