grid_cell_id,grid_cell_order,centroid_latitude,centroid_longitude,latitude_band,C3_richness,N0_richness,classified_richness_C3_plus_N0,C3_fraction
BJA25K_C+0008_R-0006,71,26.2471714,-111.3691819,26-28N,1,6,7,0.14285714285714285
BJA25K_C+0003_R-0005,72,26.4854873,-112.6208432,26-28N,0,1,1,0.0
BJA25K_C+0005_R-0005,73,26.4814259,-112.1184849,26-28N,1,1,2,0.5
BJA25K_C+0006_R-0005,74,26.4787183,-111.8673137,26-28N,0,1,1,0.0
BJA25K_C+0007_R-0005,75,26.4755596,-111.6161492,26-28N,2,3,5,0.4
BJA25K_C+0008_R-0005,76,26.4719497,-111.3649925,26-28N,2,7,9,0.2222222222222222
BJA25K_C-0001_R-0004,77,26.7130319,-113.6258438,26-28N,1,4,5,0.2
BJA25K_C+0001_R-0004,79,26.7125788,-113.122469,26-28N,2,1,3,0.6666666666666666
BJA25K_C+0005_R-0004,80,26.7062365,-112.1157466,26-28N,0,1,1,0.0
BJA25K_C+0006_R-0004,81,26.7035185,-111.8640779,26-28N,1,4,5,0.2
BJA25K_C+0000_R-0003,82,26.9378657,-113.3739047,26-28N,1,1,2,0.5
BJA25K_C+0004_R-0003,84,26.9333178,-112.3651587,26-28N,1,0,1,1.0
BJA25K_C+0005_R-0003,85,26.9310439,-112.1129816,26-28N,2,4,6,0.3333333333333333
BJA25K_C+0006_R-0003,86,26.9283153,-111.8608104,26-28N,4,6,10,0.4
BJA25K_C-0004_R-0002,87,27.1599579,-114.3844365,26-28N,0,2,2,0.0
BJA25K_C+0000_R-0002,89,27.1626973,-113.3736508,26-28N,2,0,2,1.0
BJA25K_C+0001_R-0002,90,27.1622407,-113.120953,26-28N,0,3,3,0.0
BJA25K_C+0002_R-0002,91,27.1613276,-112.8682569,26-28N,0,1,1,0.0
BJA25K_C+0004_R-0002,92,27.1581316,-112.362874,26-28N,1,4,5,0.2
BJA25K_C+0005_R-0002,93,27.1558489,-112.1101895,26-28N,1,1,2,0.5
BJA25K_C-0004_R-0001,95,27.3847775,-114.3862309,26-28N,0,3,3,0.0
BJA25K_C-0003_R-0001,96,27.3861526,-114.1330249,26-28N,1,0,1,1.0
BJA25K_C-0002_R-0001,97,27.3870693,-113.8798161,26-28N,1,2,3,0.3333333333333333
BJA25K_C+0000_R-0001,98,27.3875276,-113.3733945,26-28N,0,1,1,0.0
BJA25K_C+0001_R-0001,99,27.3870693,-113.1201839,26-28N,0,6,6,0.0
BJA25K_C+0002_R-0001,100,27.3861526,-112.8669751,26-28N,2,4,6,0.3333333333333333
BJA25K_C+0003_R-0001,101,27.3847775,-112.6137691,26-28N,1,3,4,0.25
BJA25K_C+0004_R-0001,102,27.3829441,-112.360567,26-28N,2,3,5,0.4
BJA25K_C-0006_R+0000,103,27.6054552,-114.895477,26-28N,3,1,4,0.75
BJA25K_C-0005_R+0000,104,27.607756,-114.6417626,26-28N,4,6,10,0.4
BJA25K_C-0004_R+0000,105,27.6095966,-114.3880429,26-28N,1,3,4,0.25
BJA25K_C-0001_R+0000,107,27.6123575,-113.6268644,26-28N,0,1,1,0.0
BJA25K_C+0000_R+0000,108,27.6123575,-113.3731356,26-28N,0,2,2,0.0
BJA25K_C+0001_R+0000,109,27.6118974,-113.1194073,26-28N,1,3,4,0.25
BJA25K_C-0006_R+0001,110,27.8302583,-114.8983519,26-28N,0,3,3,0.0
BJA25K_C-0003_R+0001,112,27.8358019,-114.1356263,26-28N,0,5,5,0.0
BJA25K_C-0002_R+0001,113,27.8367259,-113.8813769,26-28N,2,3,5,0.4
BJA25K_C-0001_R+0001,114,27.8371879,-113.6271258,26-28N,1,1,2,0.5
BJA25K_C-0003_R+0002,115,28.0606281,-114.1369461,28-30N,3,2,5,0.6
BJA25K_C-0002_R+0002,116,28.0615557,-113.8821689,28-30N,1,1,2,0.5
BJA25K_C+0000_R+0002,117,28.0620195,-113.3726102,28-30N,0,5,5,0.0
BJA25K_C-0003_R+0003,118,28.2854563,-114.1382788,28-30N,1,2,3,0.3333333333333333
BJA25K_C-0002_R+0003,119,28.2863876,-113.8829685,28-30N,1,8,9,0.1111111111111111
BJA25K_C+0001_R+0003,120,28.2863876,-113.1170315,28-30N,0,2,2,0.0
BJA25K_C+0002_R+0003,121,28.2854563,-112.8617212,28-30N,1,1,2,0.5
BJA25K_C-0003_R+0004,122,28.5102875,-114.1396246,28-30N,1,1,2,0.5
BJA25K_C-0002_R+0004,123,28.5112226,-113.883776,28-30N,2,3,5,0.4
BJA25K_C+0001_R+0004,124,28.5112226,-113.116224,28-30N,1,0,1,1.0
BJA25K_C+0002_R+0004,125,28.5102875,-112.8603754,28-30N,2,3,5,0.4
BJA25K_C-0004_R+0005,126,28.7337144,-114.3973725,28-30N,1,0,1,1.0
BJA25K_C-0003_R+0005,127,28.7351226,-114.1409835,28-30N,0,3,3,0.0
BJA25K_C-0002_R+0005,128,28.7360614,-113.8845914,28-30N,1,2,3,0.3333333333333333
BJA25K_C-0001_R+0005,129,28.7365308,-113.6281974,28-30N,0,4,4,0.0
BJA25K_C+0000_R+0005,130,28.7365308,-113.3718026,28-30N,2,3,5,0.4
BJA25K_C-0005_R+0006,131,28.9566634,-114.6562267,28-30N,1,0,1,1.0
BJA25K_C-0004_R+0006,132,28.9585485,-114.3992935,28-30N,2,2,4,0.5
BJA25K_C-0003_R+0006,133,28.9599624,-114.1423558,28-30N,1,4,5,0.2
BJA25K_C-0002_R+0006,134,28.960905,-113.8854148,28-30N,0,2,2,0.0
BJA25K_C-0001_R+0006,135,28.9613763,-113.6284718,28-30N,4,12,16,0.25
BJA25K_C+0000_R+0006,136,28.9613763,-113.3715282,28-30N,1,0,1,1.0
BJA25K_C-0005_R+0007,138,29.1814954,-114.6587207,28-30N,1,0,1,1.0
BJA25K_C-0003_R+0007,139,29.1848078,-114.1437415,28-30N,0,4,4,0.0
BJA25K_C-0001_R+0007,140,29.1862274,-113.628749,28-30N,0,2,2,0.0
BJA25K_C-0006_R+0008,141,29.4039582,-114.9192797,28-30N,2,2,4,0.5
BJA25K_C-0004_R+0008,142,29.4082342,-114.4031923,28-30N,5,4,9,0.5555555555555556
BJA25K_C-0003_R+0008,143,29.4096596,-114.1451408,28-30N,0,1,1,0.0
BJA25K_C-0006_R+0009,144,29.628794,-114.9223877,28-30N,3,2,5,0.6
BJA25K_C-0005_R+0009,145,29.6311793,-114.6637822,28-30N,2,9,11,0.18181818181818182
BJA25K_C-0004_R+0009,146,29.6330875,-114.4051704,28-30N,0,3,3,0.0
BJA25K_C-0003_R+0009,147,29.6345187,-114.1465538,28-30N,0,3,3,0.0
BJA25K_C-0009_R+0010,148,29.8435794,-115.7030013,28-30N,0,1,1,0.0
BJA25K_C-0007_R+0010,149,29.8507639,-115.1846943,28-30N,1,3,4,0.25
BJA25K_C-0006_R+0010,150,29.8536379,-114.9255262,28-30N,1,1,2,0.5
BJA25K_C-0005_R+0010,151,29.8560329,-114.6663503,28-30N,3,4,7,0.42857142857142855
BJA25K_C-0004_R+0010,152,29.8579489,-114.407168,28-30N,1,4,5,0.2
BJA25K_C-0009_R+0011,153,30.0683906,-115.7078975,30-32N,4,7,11,0.36363636363636365
BJA25K_C-0008_R+0011,154,30.0722381,-115.4481739,30-32N,1,3,4,0.25
BJA25K_C-0006_R+0011,156,30.0784905,-114.9286954,30-32N,0,5,5,0.0
BJA25K_C-0005_R+0011,157,30.0808954,-114.6689435,30-32N,1,2,3,0.3333333333333333
BJA25K_C-0009_R+0012,159,30.2932112,-115.7128418,30-32N,4,1,5,0.8
BJA25K_C-0008_R+0012,160,30.2970746,-115.4525371,30-32N,2,1,3,0.6666666666666666
BJA25K_C-0007_R+0012,161,30.3004552,-115.1922213,30-32N,1,0,1,1.0
BJA25K_C-0005_R+0012,162,30.3057677,-114.6715623,30-32N,1,2,3,0.3333333333333333
BJA25K_C-0010_R+0013,163,30.5136779,-115.9787134,30-32N,11,15,26,0.4230769230769231
BJA25K_C-0009_R+0013,164,30.518042,-115.7178347,30-32N,0,4,4,0.0
BJA25K_C-0007_R+0013,165,30.5253161,-115.1960403,30-32N,1,0,1,1.0
BJA25K_C-0006_R+0013,166,30.5282258,-114.9351277,30-32N,0,1,1,0.0
BJA25K_C-0005_R+0013,167,30.5306507,-114.6742067,30-32N,0,1,1,0.0
BJA25K_C-0010_R+0014,168,30.7385016,-115.9843477,30-32N,4,1,5,0.8
BJA25K_C-0009_R+0014,169,30.742884,-115.7228767,30-32N,1,0,1,1.0
BJA25K_C-0007_R+0014,170,30.7501883,-115.199897,30-32N,1,0,1,1.0
BJA25K_C-0011_R+0015,171,30.9584476,-116.2520915,30-32N,8,8,16,0.5
BJA25K_C-0010_R+0015,172,30.9633371,-115.9900374,30-32N,2,12,14,0.14285714285714285
BJA25K_C-0009_R+0015,173,30.9677378,-115.7279683,30-32N,12,8,20,0.6
BJA25K_C-0008_R+0015,174,30.9716497,-115.4658858,30-32N,6,6,12,0.5
BJA25K_C-0007_R+0015,175,30.9750728,-115.2037915,30-32N,1,2,3,0.3333333333333333
BJA25K_C-0006_R+0015,176,30.9780069,-114.9416871,30-32N,2,3,5,0.4
BJA25K_C-0005_R+0015,177,30.9804521,-114.679574,30-32N,0,2,2,0.0
BJA25K_C-0011_R+0016,178,31.1832752,-116.258441,30-32N,8,6,14,0.5714285714285714
BJA25K_C-0010_R+0016,179,31.1881852,-115.9957831,30-32N,1,0,1,1.0
BJA25K_C-0009_R+0016,180,31.1926045,-115.73311,30-32N,1,2,3,0.3333333333333333
BJA25K_C-0008_R+0016,181,31.1965328,-115.4704233,30-32N,3,3,6,0.5
BJA25K_C-0007_R+0016,182,31.1999703,-115.2077245,30-32N,2,3,5,0.4
BJA25K_C-0006_R+0016,183,31.2029168,-114.9450153,30-32N,2,4,6,0.3333333333333333
