scale,class,statistic,rank,group_1,group_2,frequency
ecoregion,N0,nearest_pair_frequency,6,Desierto de Vizcaíno,Planicies de Magdalena,0.0169
ecoregion,N0,nearest_pair_frequency,7,Desierto Central,Desierto de San Felipe,0.014566666666666669
ecoregion,N0,nearest_pair_frequency,8,Costa Central del Golfo,Desierto de Vizcaíno,0.01385
ecoregion,N0,nearest_pair_frequency,9,Desierto de Vizcaíno,Sierra de la Giganta,0.011466666666666667
ecoregion,N0,nearest_pair_frequency,10,Matorrales Tropicales,Planicies de Magdalena,0.0109
ecoregion,N0,nearest_pair_frequency,11,Desierto Central,Sierra de la Giganta,0.010816666666666667
ecoregion,N0,nearest_pair_frequency,12,Matorrales Tropicales,Sierra de la Giganta,0.0087
ecoregion,N0,nearest_pair_frequency,13,Desierto Central,Desierto de Vizcaíno,0.00745
ecoregion,N0,nearest_pair_frequency,14,Desierto de San Felipe,Desierto de Vizcaíno,0.0054
ecoregion,N0,nearest_pair_frequency,15,Chaparral,Desierto de San Felipe,0.004466666666666667
ecoregion,N0,nearest_pair_frequency,16,Matorral Costero Rosetófilo,Planicies de Magdalena,0.0043
ecoregion,N0,nearest_pair_frequency,17,Chaparral,Desierto Central,0.0026
ecoregion,N0,nearest_pair_frequency,18,Desierto Central,Matorral Costero,0.0024333333333333334
ecoregion,N0,nearest_pair_frequency,19,Desierto de San Felipe,Sierra de la Giganta,0.0018
ecoregion,N0,nearest_pair_frequency,20,Costa Central del Golfo,Desierto Central,0.0011666666666666665
ecoregion,N0,nearest_pair_frequency,21,Desierto de San Felipe,Matorral Costero,0.0008
ecoregion,N0,nearest_pair_frequency,22,Costa Central del Golfo,Desierto de San Felipe,0.0006
ecoregion,N0,nearest_pair_frequency,23,Desierto de Vizcaíno,Matorral Costero Rosetófilo,0.0004
ecoregion,N0,nearest_pair_frequency,24,Chaparral,Planicies de Magdalena,0.0002
ecoregion,N0,nearest_pair_frequency,25,Desierto Central,Planicies de Magdalena,0.0001
ecoregion,N0,most_distinct_group_frequency,1,Chaparral,,0.2606
ecoregion,N0,most_distinct_group_frequency,2,Matorral Costero Rosetófilo,,0.2344
ecoregion,N0,most_distinct_group_frequency,3,Desierto de Vizcaíno,,0.1668
ecoregion,N0,most_distinct_group_frequency,4,Desierto de San Felipe,,0.0978
ecoregion,N0,most_distinct_group_frequency,5,Sierra de la Giganta,,0.0918
ecoregion,N0,most_distinct_group_frequency,6,Matorral Costero,,0.0662
ecoregion,N0,most_distinct_group_frequency,7,Planicies de Magdalena,,0.0646
ecoregion,N0,most_distinct_group_frequency,8,Matorrales Tropicales,,0.008
ecoregion,N0,most_distinct_group_frequency,9,Desierto Central,,0.0074
ecoregion,N0,most_distinct_group_frequency,10,Costa Central del Golfo,,0.0024
