grid_cell_id,grid_cell_order,centroid_latitude,centroid_longitude,latitude_band,z_tmean_c,z_tseason_monthly_sd_c,z_precip_annual_mean_mm,z_precip_interannual_cv_pct,z_vpd_mean_kpa,z_soil_water_mean_frac,z_wind_speed_mean_ms,z_wind_monthly_sd_ms,z_evi_mean,z_evi_interannual_cv_pct
BJA25K_C+0013_R-0020,1,23.0758711,-110.2025688,23-24N,0.9237390150572614,-1.1909553517672364,1.7061448200833387,-0.2686274407638542,-0.8062241183381514,-0.23830103227745048,-0.5969639529087964,-0.8118764234961006,1.0509195020377582,-0.3891780059683914
BJA25K_C+0014_R-0020,2,23.0699,-109.9583628,23-24N,0.6743453107210502,-1.3372476741745227,1.9040429764873503,-0.385419966030094,-0.7367678274493793,1.381750191543512,-0.5073308761248871,-0.4412880221828852,2.7863555632099404,-0.5600781943926841
BJA25K_C+0015_R-0020,3,23.0635028,-109.714167,23-24N,1.2136070759379294,-1.0286221788404815,2.3904377401196863,-0.5400201903039997,-0.0595554696010251,0.999932786540099,-1.0391819429431994,-1.14075010642607,1.984341150456173,-0.36313199114511846
BJA25K_C+0016_R-0020,4,23.0566794,-109.4699823,23-24N,1.6683165321813636,-0.7504142288008349,1.688633932559866,-0.7515197649809965,0.39296536780599495,0.31053759203061243,-1.05180111543684,-0.49540773817603556,0.9142821075148229,-0.13514091848615276
BJA25K_C+0013_R-0019,5,23.3007157,-110.1967726,23-24N,0.8081982750566937,-1.1878780835348552,2.5091629772560275,-0.9955643105600559,-0.675558734992853,0.9459674118777599,-0.8055638328917724,-1.5551497741130174,1.4002271628404996,-0.5174567402523806
BJA25K_C+0014_R-0019,6,23.2947229,-109.9521386,23-24N,0.5049072213648388,-1.13327304721106,2.877147258409705,-0.9382860310453166,-0.4723962086405317,2.4573976127136214,-1.2394946917703689,-1.8587186905656734,3.386831014197812,-0.5578517158856644
BJA25K_C+0015_R-0019,7,23.2883023,-109.7075151,23-24N,1.2969433427972243,-0.6009446161398522,2.809943818405927,-0.7743749638739178,0.3554986633697553,2.007143431599234,-1.516220430031319,-1.6069444818268377,2.8032892867516055,-0.5931991321931225
BJA25K_C+0016_R-0019,8,23.2814541,-109.4629028,23-24N,1.4565485825315478,-0.6933512930779472,1.8572387885200994,-0.7923817586771547,0.06410880057052176,0.5971236882225531,-0.840575267945773,-0.38171403471393345,1.9730660216521214,-0.33981645551568684
BJA25K_C+0013_R-0018,9,23.5255433,-110.190919,23-24N,0.7548625584705086,-1.1233700314991915,2.1060772293999803,-1.03630367997124,-0.5611622370313523,0.9822767685117426,-0.6697881547135991,-1.6752177458307247,1.8950254992591553,-0.5521428538181068
BJA25K_C+0014_R-0018,10,23.5195285,-109.9458527,23-24N,0.023912291885354042,-1.0487270474775907,3.172312830131473,-1.396024480393894,-0.500654945640516,3.079667875042903,-1.506732931116478,-1.8646040734132392,3.8138492743132217,-0.6038874404160981
