predictor,tmean_c,tseason_monthly_sd_c,precip_annual_mean_mm,precip_interannual_cv_pct,vpd_mean_kpa,soil_water_mean_frac,wind_speed_mean_ms,wind_monthly_sd_ms,evi_mean,evi_interannual_cv_pct
tmean_c,1.0,-0.006643990463159441,-0.04566438301360221,0.5303868521435675,0.5439971948710833,-0.5165192180094236,-0.09557517568589331,0.012676343722760892,0.08620929189495151,0.2553000257855419
tseason_monthly_sd_c,-0.006643990463159441,1.0,-0.04864201724428269,-0.1490235525389801,0.782001475173021,0.05393450757905982,-0.6262835425378567,-0.33953433723895704,-0.20882537096846274,-0.03334557993398248
precip_annual_mean_mm,-0.04566438301360221,-0.04864201724428269,1.0,-0.5042296844368237,-0.10264802652793677,0.8016224265077644,-0.6448771688314023,-0.5561160269430895,0.8744725782133874,-0.17491516986073882
precip_interannual_cv_pct,0.5303868521435675,-0.1490235525389801,-0.5042296844368237,1.0,0.14271237706323592,-0.6003400733713483,0.43512750679584655,0.39237447599485253,-0.3144476638184329,0.25374436615935525
vpd_mean_kpa,0.5439971948710833,0.782001475173021,-0.10264802652793677,0.14271237706323592,1.0,-0.2923568543855525,-0.5584362542257908,-0.3111620502492848,-0.14008566563834673,0.009622486310028988
soil_water_mean_frac,-0.5165192180094236,0.05393450757905982,0.8016224265077644,-0.6003400733713483,-0.2923568543855525,1.0,-0.4838597746242299,-0.44697885671508825,0.6404497898403576,-0.1747354709372363
wind_speed_mean_ms,-0.09557517568589331,-0.6262835425378567,-0.6448771688314023,0.43512750679584655,-0.5584362542257908,-0.4838597746242299,1.0,0.7312139099402779,-0.4519366256846928,0.11137859839403037
wind_monthly_sd_ms,0.012676343722760892,-0.33953433723895704,-0.5561160269430895,0.39237447599485253,-0.3111620502492848,-0.44697885671508825,0.7312139099402779,1.0,-0.43425970977019285,0.22804949787480408
evi_mean,0.08620929189495151,-0.20882537096846274,0.8744725782133874,-0.3144476638184329,-0.14008566563834673,0.6404497898403576,-0.4519366256846928,-0.43425970977019285,1.0,-0.2670931491044693
evi_interannual_cv_pct,0.2553000257855419,-0.03334557993398248,-0.17491516986073882,0.25374436615935525,0.009622486310028988,-0.1747354709372363,0.11137859839403037,0.22804949787480408,-0.2670931491044693,1.0
