pair_id,grid_cell_id,observed,posterior_predictive_median,posterior_predictive_q05,posterior_predictive_q95,inside_90pct_interval
TPAIR_0001,BJA25K_C+0013_R-0015,-0.46666666666666673,-0.3671664719016961,-1.0131424537393705,0.31480677834530624,1
TPAIR_0002,BJA25K_C+0013_R-0015,0.25,0.17144544849461862,-0.4681361899866749,0.798098749196134,1
TPAIR_0003,BJA25K_C+0013_R-0016,0.0,-0.08985860524233781,-0.6464891007395276,0.4420424351124857,1
TPAIR_0004,BJA25K_C+0013_R-0016,0.0,0.00038117546758463516,-0.5477473462968503,0.53102866524293,1
TPAIR_0005,BJA25K_C+0013_R-0018,0.46666666666666673,0.3753359325249901,-0.20151251627365338,0.9612783725483969,1
TPAIR_0006,BJA25K_C+0014_R-0017,-0.5,-0.352278903849007,-0.9987184532083354,0.3400468012637239,1
TPAIR_0007,BJA25K_C+0014_R-0017,0.028571428571428525,0.17620052278452936,-0.37701643052383116,0.7395372400308482,1
TPAIR_0008,BJA25K_C+0015_R-0018,0.30000000000000004,0.07746298105781463,-0.429134611367235,0.6005367727222273,1
TPAIR_0009,BJA25K_C+0016_R-0018,0.08333333333333337,-0.029488674577848588,-0.6829136670681725,0.6116946585961193,1
TPAIR_0010,BJA25K_C-0010_R+0013,-0.6666666666666667,-0.3740561411527211,-0.8569987282954553,0.14017849711383024,1
TPAIR_0011,BJA25K_C-0011_R+0015,0.0,-0.11314477398706851,-0.5423033136904558,0.3121172320754779,1
TPAIR_0012,BJA25K_C-0011_R+0016,0.16666666666666669,-0.21718548169657564,-0.8064411441761574,0.4031617158613374,1
TPAIR_0013,BJA25K_C-0012_R+0018,-0.25,-0.2533238136348247,-0.6761837047632313,0.21105082368626488,1
TPAIR_0014,BJA25K_C-0012_R+0019,0.05882352941176469,0.04142458536436521,-0.41284351863182106,0.448762552517435,1
TPAIR_0015,BJA25K_C-0013_R+0019,-0.5142857142857143,-0.2081108070906479,-0.6702742508228773,0.28003435596331694,1
