parameter,mean,sd,median,q025,q055,q945,q975,rhat,ess_bulk_approx
intercept,-0.07206086491287833,0.08286480484771909,-0.07053875909663467,-0.23700013655591715,-0.2016558288368115,0.055792897743200155,0.09083652425873215,1.0058380284170216,106.21019725937276
stress_beta,0.1981166790179484,0.08505772112986747,0.20042593534916586,0.02291980636790061,0.0579910417212454,0.328071882267343,0.35891023730467553,1.0044965621509976,107.2425281384332
log_events_beta,0.09442315146172188,0.07435290857032371,0.09694573589035949,-0.060485009425298886,-0.02574921004009421,0.20672463793642343,0.23472341682246214,1.0006265483093428,308.09192611969917
midpoint_beta,0.03669770776402479,0.08337450209796132,0.03637920124301372,-0.12137595637882197,-0.09317239005616489,0.16892988512541623,0.20369765412699373,1.0036845791088944,190.17043478914678
process_sd,0.12375772244667546,0.07781222700590018,0.11522299477919884,0.008661797309352506,0.017479238928244448,0.2579585495666442,0.29940480217338605,1.0115443754672009,102.45980790273443
cell_sd,0.12589032272710543,0.07945598015008339,0.11803513252397096,0.006624424161245032,0.014388348928252364,0.2630873174571864,0.29544795940743523,1.0057824760681038,85.45456922783634
