latitude,predicted_C3_fraction_at_mean_log_richness
23.7503546,0.3659684757497229
23.785327900000002,0.362056054843266
23.820301200000003,0.3582303109253923
23.8552745,0.3544906915436008
23.8902478,0.3508366109745965
23.9252211,0.3472674534728739
23.960194400000002,0.34378257640087373
23.995167700000003,0.34038131323969545
24.030141,0.3370629764799603
24.0651143,0.3338268603929864
24.100087600000002,0.33067224368295195
24.135060900000003,0.327598392021172
24.1700342,0.3246045604640288
24.2050075,0.32168999575645196
24.2399808,0.3188539385231652
24.274954100000002,0.3160956253501799
24.309927400000003,0.3134142907592604
24.3449007,0.3108091690782765
24.379874,0.3082794962105207
24.4148473,0.3058245113062072
24.449820600000002,0.3034434583394593
24.4847939,0.3011355875941803
24.5197672,0.2989001570622445
24.5547405,0.2967364337574842
24.589713800000002,0.29464369494894777
24.624687100000003,0.2926212293169039
24.6596604,0.2906683380350406
24.6946337,0.2887843357822662
24.729607,0.28696855168747554
24.764580300000002,0.28522033021057297
24.799553600000003,0.28353903196298236
24.8345269,0.28192403447078673
24.8695002,0.2803747328835568
24.9044735,0.27889054063183527
24.939446800000002,0.2774708900361414
24.974420100000003,0.27611523287026335
25.0093934,0.2748230408814968
25.0443667,0.2735938062703805
25.079340000000002,0.2724270421323711
25.114313300000003,0.2713222828637846
25.1492866,0.270279084534222
25.1842599,0.2692970252275817
25.2192332,0.26837570535364974
25.254206500000002,0.26751474793214264
25.289179800000003,0.2667137988509677
25.3241531,0.2659725271003522
25.3591264,0.26529062498438033
25.3940997,0.26466780831136927
25.429073000000002,0.26410381656440085
25.4640463,0.26359841305322324
25.4990196,0.2631513850486226
25.5339929,0.262762543900265
25.568966200000002,0.26243172513889584
25.603939500000003,0.26215878856368696
25.6389128,0.26194361831541163
25.6738861,0.26178612293602926
25.7088594,0.26168623541515634
25.743832700000002,0.2616439132237999
25.778806000000003,0.26165913833562965
25.8137793,0.2617319172359617
25.8487526,0.26186228091852887
25.8837259,0.2620502848700098
25.918699200000002,0.26229600904219175
25.953672500000003,0.2625995578115369
25.9886458,0.26296105992582625
26.0236191,0.2633806684374495
26.058592400000002,0.2638585606228098
26.093565700000003,0.2643949378872087
26.128539,0.2649900256544747
26.1635123,0.2656440732404924
26.1984856,0.26635735370968533
26.233458900000002,0.267130163713401
26.2684322,0.26796282330903587
26.3034055,0.2688556757586341
26.3383788,0.2698090873055804
26.3733521,0.27082344692790117
26.408325400000003,0.2718991660665738
26.4432987,0.27303667832713496
26.478272,0.274236439152762
26.5132453,0.2754989254668937
26.548218600000002,0.2768246352833387
26.583191900000003,0.27821408728170954
26.6181652,0.27966782034590504
26.6531385,0.28118639306325427
26.6881118,0.2827703831818207
26.723085100000002,0.284420387023259
26.758058400000003,0.2861370188485091
26.7930317,0.2879209101735068
26.828005,0.2897727090319923
26.8629783,0.2916930791823994
26.897951600000003,0.29368269925572243
26.932924900000003,0.2957422618411707
26.9678982,0.29787247250634535
27.0028715,0.3000740487486107
27.037844800000002,0.3023477188742673
27.072818100000003,0.3046942208021013
27.1077914,0.307114300787842
27.1427647,0.3096087120660537
27.177738,0.31217821340597746
27.212711300000002,0.3148235675778738
27.2476846,0.31754553972644195
27.2826579,0.32034489564796936
27.3176312,0.32322239996794194
27.3526045,0.3261788142159763
27.387577800000003,0.32921489479507177
27.4225511,0.33233139084236624
27.4575244,0.3355290419787962
27.4924977,0.33880857594531
27.527471000000002,0.3421707061235892
27.562444300000003,0.34561612893955873
27.5974176,0.3491455211483624
27.6323909,0.3527595369999084
27.6673642,0.35645880528457247
27.702337500000002,0.36024392625919405
27.737310800000003,0.3641154684540859
27.7722841,0.36807396536243314
27.8072574,0.3721199120141742
27.8422307,0.37625376143721595
27.877204000000003,0.380475921009686
27.912177300000003,0.38478674870780455
27.9471506,0.38918654925492363
27.9821239,0.3936755701782983
28.017097200000002,0.3982539977812227
28.0520705,0.4029219530393097
28.0870438,0.4076794874308662
28.1220171,0.4125265787125518
28.1569904,0.4174631266527957
28.191963700000002,0.42248894873674797
28.226937,0.42760377585789094
28.2619103,0.4328072480128054
28.2968836,0.43809891001694073
28.331856900000002,0.44347820726063913
28.366830200000003,0.44894448152599387
28.4018035,0.4544969668864678
28.4367768,0.4601347857124808
28.4717501,0.4658569448073893
28.506723400000002,0.4716623316994495
28.541696700000003,0.4775497111163804
28.57667,0.4835177216700947
28.6116433,0.4895648727799546
28.6466166,0.49568954186353864
28.681589900000002,0.5018899718243848
28.716563200000003,0.5081642688664109
28.7515365,0.5145104006647647
28.7865098,0.5209261949226491
28.821483100000002,0.5274093383431958
28.856456400000003,0.5339573760447359
28.891429700000003,0.5405677114467671
28.926403,0.547237606652582
28.9613763,0.5539641833528739
