grid_cell_id,source_field,baseline_start,baseline_end,baseline_n_years,baseline_mean,baseline_sd,orientation,parameter_valid
BJA25K_C+0013_R-0016,terraclimate_aet_pet_ratio,2001,2020,20,0.18234196077155357,0.06780943570377725,-1,1
BJA25K_C+0013_R-0016,modis_evi_mean,2001,2020,20,0.21431562596018808,0.020775732100313807,-1,1
BJA25K_C+0013_R-0016,modis_evi_p10,2001,2020,20,0.14101648768835282,0.008785598603834623,-1,1
BJA25K_C+0013_R-0018,era5_mean_temperature_c,2001,2020,20,22.69962052564674,0.44188368667658784,1,1
BJA25K_C+0013_R-0018,era5_p95_daily_max_temperature_c,2001,2020,20,33.37499705332668,0.33993295028468984,1,1
BJA25K_C+0013_R-0018,era5_annual_max_temperature_c,2001,2020,20,35.67509194331385,0.535827462323731,1,1
BJA25K_C+0013_R-0018,era5_hot_days_35c,2001,2020,20,5.696679104477612,2.5466698069699065,1,1
BJA25K_C+0013_R-0018,era5_hot_days_40c,2001,2020,20,,,1,0
BJA25K_C+0013_R-0018,era5_mean_vpd_kpa,2001,2020,20,1.062373857206694,0.04031554119030699,1,1
BJA25K_C+0013_R-0018,era5_p95_vpd_kpa,2001,2020,20,1.782587369047833,0.09009961156890928,1,1
BJA25K_C+0013_R-0018,era5_high_vpd_day_fraction,2001,2020,20,0.0003156572850993182,0.0005070358511595864,1,1
BJA25K_C+0013_R-0018,era5_mean_rootzone_soil_water,2001,2020,20,0.13281049338681833,0.010818628798212774,-1,1
BJA25K_C+0013_R-0018,modis_lst_day_mean_c,2001,2020,20,36.71817351333426,0.7348355593125097,1,1
BJA25K_C+0013_R-0018,modis_lst_day_p95_c,2001,2020,20,46.19881220165116,0.8037151503394356,1,1
BJA25K_C+0013_R-0018,modis_lst_day_max_c,2001,2020,20,50.86746569630468,1.5373735508789628,1,1
BJA25K_C+0013_R-0018,modis_lst_night_mean_c,2001,2020,20,17.229803271621854,0.6008895814844368,1,1
BJA25K_C+0013_R-0018,modis_lst_hot_observation_fraction_45c,2001,2020,20,0.09275510443247828,0.022901105837406892,1,1
BJA25K_C+0013_R-0018,chirps_annual_precipitation_mm,2001,2020,20,234.60838416594697,90.51449065926296,-1,1
BJA25K_C+0013_R-0018,chirps_dry_day_fraction_lt1mm,2001,2020,20,0.9230642370902074,0.02548468156778037,1,1
BJA25K_C+0013_R-0018,chirps_very_dry_day_fraction_lt0_1mm,2001,2020,20,0.9072834239789758,0.027767275185976707,1,1
BJA25K_C+0013_R-0018,chirps_minimum_monthly_precipitation_mm,2001,2020,20,0.06585808868840191,0.15805265493720963,-1,1
BJA25K_C+0013_R-0018,chirps_heavy_rain_days_gt20mm,2001,2020,20,2.365073529411764,1.189239533188682,1,1
BJA25K_C+0013_R-0018,chirps_max_1day_precipitation_mm,2001,2020,20,49.78033743727259,27.35922039335585,1,1
BJA25K_C+0013_R-0018,terraclimate_climate_water_deficit_mm,2001,2020,20,1368.1954299704862,101.6805354307715,1,1
BJA25K_C+0013_R-0018,terraclimate_pdsi_mean,2001,2020,20,-0.3278070610857705,2.1854361463652974,-1,1
BJA25K_C+0013_R-0018,terraclimate_pdsi_min,2001,2020,20,-2.7600649315803603,1.7726745498227365,-1,1
BJA25K_C+0013_R-0018,terraclimate_soil_moisture_mean_mm,2001,2020,20,7.532090208836422,4.021935996388963,-1,1
BJA25K_C+0013_R-0018,terraclimate_aet_pet_ratio,2001,2020,20,0.1425776739844121,0.05476947408870115,-1,1
BJA25K_C+0013_R-0018,modis_evi_mean,2001,2020,20,0.212754337269584,0.022376858274664273,-1,1
BJA25K_C+0013_R-0018,modis_evi_p10,2001,2020,20,0.14020134423456634,0.011096829276187976,-1,1
BJA25K_C+0014_R-0017,era5_mean_temperature_c,2001,2020,20,22.84572064092298,0.3189082229620195,1,1
BJA25K_C+0014_R-0017,era5_p95_daily_max_temperature_c,2001,2020,20,34.59633148333684,0.3422746281223964,1,1
BJA25K_C+0014_R-0017,era5_annual_max_temperature_c,2001,2020,20,36.729531603504356,0.5222762629848284,1,1
BJA25K_C+0014_R-0017,era5_hot_days_35c,2001,2020,20,18.758754448398577,5.575021411874612,1,1
BJA25K_C+0014_R-0017,era5_hot_days_40c,2001,2020,20,,,1,0
BJA25K_C+0014_R-0017,era5_mean_vpd_kpa,2001,2020,20,1.245424445660104,0.06164287350871758,1,1
BJA25K_C+0014_R-0017,era5_p95_vpd_kpa,2001,2020,20,2.246686715089562,0.13768846265030213,1,1
BJA25K_C+0014_R-0017,era5_high_vpd_day_fraction,2001,2020,20,0.0037731125590356003,0.00399676316193504,1,1
BJA25K_C+0014_R-0017,era5_mean_rootzone_soil_water,2001,2020,20,0.14606103437715479,0.01008765072400696,-1,1
BJA25K_C+0014_R-0017,modis_lst_day_mean_c,2001,2020,20,35.101289663038,0.8397988039475835,1,1
BJA25K_C+0014_R-0017,modis_lst_day_p95_c,2001,2020,20,47.56293384168487,0.9588987816122811,1,1
BJA25K_C+0014_R-0017,modis_lst_day_max_c,2001,2020,20,52.310459387735214,1.2540349513305373,1,1
BJA25K_C+0014_R-0017,modis_lst_night_mean_c,2001,2020,20,17.718286056101903,0.3943609278233456,1,1
BJA25K_C+0014_R-0017,modis_lst_hot_observation_fraction_45c,2001,2020,20,0.12822036323136424,0.029599492144872012,1,1
BJA25K_C+0014_R-0017,chirps_annual_precipitation_mm,2001,2020,20,369.5536954499609,158.4769908125155,-1,1
BJA25K_C+0014_R-0017,chirps_dry_day_fraction_lt1mm,2001,2020,20,0.9142755939709488,0.022326955529345743,1,1
BJA25K_C+0014_R-0017,chirps_very_dry_day_fraction_lt0_1mm,2001,2020,20,0.8991788940392766,0.025997275693524325,1,1
BJA25K_C+0014_R-0017,chirps_minimum_monthly_precipitation_mm,2001,2020,20,0.011611203967217822,0.03412680641097567,-1,1
BJA25K_C+0014_R-0017,chirps_heavy_rain_days_gt20mm,2001,2020,20,4.271500888099467,2.1793610469319935,1,1
BJA25K_C+0014_R-0017,chirps_max_1day_precipitation_mm,2001,2020,20,78.54329720715648,54.055301339123105,1,1
BJA25K_C+0014_R-0017,terraclimate_climate_water_deficit_mm,2001,2020,20,1187.1275407407406,124.59633932406699,1,1
