pair_id,grid_cell_id,period_1,period_2,latitude_band,y_observed,resampling_q025,resampling_q975,observation_sd_raw_approx,observation_sd_approx,observation_sd_floor_applied,stress_change_raw,common_event_resample_n,log_common_events_raw,transition_midpoint_raw
TPAIR_0001,BJA25K_C+0013_R-0015,P2011_2015,P2016_2020,24-26N,-0.46666666666666673,-1.0,0.16666666666666663,0.29762451653938143,0.29762451653938143,0,-0.17548793859780265,5.0,1.791759469228055,2015.5
TPAIR_0002,BJA25K_C+0013_R-0015,P2016_2020,P2021_2025,24-26N,0.25,-0.33333333333333337,0.75,0.2763656225008543,0.2763656225008543,0,0.5485003448621256,5.0,1.791759469228055,2020.5
TPAIR_0003,BJA25K_C+0013_R-0016,P2011_2015,P2016_2020,24-26N,0.0,-0.33333333333333337,0.4047619047619048,0.1882930614840985,0.1882930614840985,0,0.12607200134765134,8.0,2.1972245773362196,2015.5
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,24-26N,0.0,-0.5,0.4341666666666659,0.23831220217189025,0.23831220217189025,0,0.1343781326956376,8.0,2.1972245773362196,2020.5
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,23-24N,0.46666666666666673,-0.09999999999999998,0.8,0.22959605561609428,0.22959605561609428,0,0.7207581727056723,10.0,2.3978952727983707,2020.5
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,23-24N,-0.5,-1.0,0.16666666666666663,0.29762451653938143,0.29762451653938143,0,0.008835096611947979,3.0,1.3862943611198906,2015.5
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,23-24N,0.028571428571428525,-0.4,0.5,0.22959605561609428,0.22959605561609428,0,0.4946746848940795,12.0,2.5649493574615367,2020.5
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,23-24N,0.30000000000000004,-0.09999999999999998,0.75,0.21684071919297793,0.21684071919297793,0,0.1983681513465493,8.0,2.1972245773362196,2020.5
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,23-24N,0.08333333333333337,-0.5,0.6687499999999982,0.29815598889034417,0.29815598889034417,0,0.17196905758128106,5.0,1.791759469228055,2020.5
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,30-32N,-0.6666666666666667,-1.0,-0.33333333333333337,0.17007115230821798,0.17007115230821798,0,-0.12752888276518537,4.0,1.6094379124341003,2020.5
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,30-32N,0.0,-0.16666666666666669,0.3333333333333333,0.12755336423116348,0.12755336423116348,0,-0.1892927873155537,15.0,2.772588722239781,2020.5
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,30-32N,0.16666666666666669,-0.3333333333333333,0.6666666666666666,0.25510672846232696,0.25510672846232696,0,-0.3234443071522798,10.0,2.3978952727983707,2020.5
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,30-32N,-0.25,-0.5,0.09999999999999998,0.1530640370773962,0.1530640370773962,0,-0.22859865694028514,10.0,2.3978952727983707,2020.5
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,30-32N,0.05882352941176469,-0.10980392156862746,0.21241830065359477,0.08220105694897203,0.08220105694897203,0,-0.27026569419334373,131.0,4.882801922586371,2020.5
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,30-32N,-0.5142857142857143,-0.8,-0.2278571428571436,0.1459574924988026,0.1459574924988026,0,-0.10954120258813085,20.0,3.044522437723423,2020.5
