grid_cell_id,source_field,baseline_start,baseline_end,baseline_n_years,baseline_mean,baseline_sd,parameter_valid
BJA25K_C-0011_R+0016,annual_precipitation_mm,2001,2020,20,259.4812823280737,105.8262813741259,1
BJA25K_C-0011_R+0016,mean_rootzone_soil_water,2001,2020,20,0.1508304302912262,0.01917251377561502,1
BJA25K_C-0011_R+0016,mean_evi,2001,2020,20,0.14521421329652967,0.02762431245818464,1
BJA25K_C-0012_R+0018,mean_temperature_c,2001,2020,20,16.84013633218458,0.7127778404261299,1
BJA25K_C-0012_R+0018,hot_days_35c,2001,2020,20,0.5341216216216216,0.9503469504011386,1
BJA25K_C-0012_R+0018,mean_vpd_kpa,2001,2020,20,0.7312992589344183,0.0796354489636354,1
BJA25K_C-0012_R+0018,annual_precipitation_mm,2001,2020,20,271.17945198894836,109.56091907435206,1
BJA25K_C-0012_R+0018,mean_rootzone_soil_water,2001,2020,20,0.1523987967285414,0.019310237878513003,1
BJA25K_C-0012_R+0018,mean_evi,2001,2020,20,0.18084554604220593,0.031066073484100544,1
BJA25K_C-0012_R+0019,mean_temperature_c,2001,2020,20,16.837064195551342,0.6868606157142852,1
BJA25K_C-0012_R+0019,hot_days_35c,2001,2020,20,1.140607210626186,1.439160829642025,1
BJA25K_C-0012_R+0019,mean_vpd_kpa,2001,2020,20,0.8222746797079162,0.079944074702712,1
BJA25K_C-0012_R+0019,annual_precipitation_mm,2001,2020,20,316.6877485458473,117.78891472372582,1
BJA25K_C-0012_R+0019,mean_rootzone_soil_water,2001,2020,20,0.16219878785676717,0.020362565193594705,1
BJA25K_C-0012_R+0019,mean_evi,2001,2020,20,0.16692310618458234,0.02391595723936865,1
BJA25K_C-0013_R+0019,mean_temperature_c,2001,2020,20,16.499756934391478,0.7650835583215111,1
BJA25K_C-0013_R+0019,hot_days_35c,2001,2020,20,0.028316326530612244,0.09237927521630071,1
BJA25K_C-0013_R+0019,mean_vpd_kpa,2001,2020,20,0.5072959075288453,0.06335059484947898,1
BJA25K_C-0013_R+0019,annual_precipitation_mm,2001,2020,20,314.64464772327983,115.73125944016707,1
BJA25K_C-0013_R+0019,mean_rootzone_soil_water,2001,2020,20,0.16288032163489055,0.021385264311468612,1
BJA25K_C-0013_R+0019,mean_evi,2001,2020,20,0.15076440301108446,0.023932879723330493,1
