model_id,omitted_cell,n_pairs,n_cells,coefficient,status
E_SECONDARY_MOISTURE_MEAN,BJA25K_C+0014_R-0017,13,11,0.11664651379471741,OK
E_SECONDARY_MOISTURE_MEAN,BJA25K_C+0015_R-0018,14,11,0.061340047877867926,OK
E_SECONDARY_MOISTURE_MEAN,BJA25K_C+0016_R-0018,14,11,0.008956253935155034,OK
E_SECONDARY_MOISTURE_MEAN,BJA25K_C-0010_R+0013,14,11,0.033183296318695266,OK
E_SECONDARY_MOISTURE_MEAN,BJA25K_C-0011_R+0015,14,11,-0.022963524091981664,OK
E_SECONDARY_MOISTURE_MEAN,BJA25K_C-0011_R+0016,14,11,0.021907624007563856,OK
E_SECONDARY_MOISTURE_MEAN,BJA25K_C-0012_R+0018,14,11,0.017720715808396497,OK
E_SECONDARY_MOISTURE_MEAN,BJA25K_C-0012_R+0019,14,11,0.002261954301459368,OK
E_SECONDARY_MOISTURE_MEAN,BJA25K_C-0013_R+0019,14,11,0.002199632169606909,OK
E_SECONDARY_RAINFALL_MEAN,BJA25K_C+0013_R-0015,13,11,-0.02100327535185724,OK
E_SECONDARY_RAINFALL_MEAN,BJA25K_C+0013_R-0016,13,11,-0.0017516410348493098,OK
E_SECONDARY_RAINFALL_MEAN,BJA25K_C+0013_R-0018,14,11,-0.05880066118918944,OK
E_SECONDARY_RAINFALL_MEAN,BJA25K_C+0014_R-0017,13,11,0.015582194965317394,OK
E_SECONDARY_RAINFALL_MEAN,BJA25K_C+0015_R-0018,14,11,0.061638727782227724,OK
E_SECONDARY_RAINFALL_MEAN,BJA25K_C+0016_R-0018,14,11,-0.023011574022393712,OK
E_SECONDARY_RAINFALL_MEAN,BJA25K_C-0010_R+0013,14,11,-0.031779329590482255,OK
E_SECONDARY_RAINFALL_MEAN,BJA25K_C-0011_R+0015,14,11,-0.118402888911323,OK
E_SECONDARY_RAINFALL_MEAN,BJA25K_C-0011_R+0016,14,11,-0.022538974332290202,OK
E_SECONDARY_RAINFALL_MEAN,BJA25K_C-0012_R+0018,14,11,-0.02786586708915184,OK
E_SECONDARY_RAINFALL_MEAN,BJA25K_C-0012_R+0019,14,11,-0.0387161366756915,OK
E_SECONDARY_RAINFALL_MEAN,BJA25K_C-0013_R+0019,14,11,-0.036492451142722204,OK
E_SECONDARY_SOIL_WATER_MEAN,BJA25K_C+0013_R-0015,13,11,-0.14049687278835896,OK
E_SECONDARY_SOIL_WATER_MEAN,BJA25K_C+0013_R-0016,13,11,-0.14743978838649588,OK
E_SECONDARY_SOIL_WATER_MEAN,BJA25K_C+0013_R-0018,14,11,-0.017884543245348997,OK
E_SECONDARY_SOIL_WATER_MEAN,BJA25K_C+0014_R-0017,13,11,0.05350789872109389,OK
E_SECONDARY_SOIL_WATER_MEAN,BJA25K_C+0015_R-0018,14,11,-0.039380199892951724,OK
E_SECONDARY_SOIL_WATER_MEAN,BJA25K_C+0016_R-0018,14,11,-0.059329173712110994,OK
E_SECONDARY_SOIL_WATER_MEAN,BJA25K_C-0010_R+0013,14,11,0.02166395658588338,OK
E_SECONDARY_SOIL_WATER_MEAN,BJA25K_C-0011_R+0015,14,11,-0.04806231695598279,OK
E_SECONDARY_SOIL_WATER_MEAN,BJA25K_C-0011_R+0016,14,11,-0.010558799893060293,OK
E_SECONDARY_SOIL_WATER_MEAN,BJA25K_C-0012_R+0018,14,11,-0.040359084295692696,OK
E_SECONDARY_SOIL_WATER_MEAN,BJA25K_C-0012_R+0019,14,11,-0.046864554792676635,OK
E_SECONDARY_SOIL_WATER_MEAN,BJA25K_C-0013_R+0019,14,11,-0.05489457368225247,OK
E_SECONDARY_WATER_BALANCE_MEAN,BJA25K_C+0013_R-0015,13,11,0.054179275289572185,OK
E_SECONDARY_WATER_BALANCE_MEAN,BJA25K_C+0013_R-0016,13,11,0.06275537912234865,OK
E_SECONDARY_WATER_BALANCE_MEAN,BJA25K_C+0013_R-0018,14,11,-0.0008982576140725729,OK
E_SECONDARY_WATER_BALANCE_MEAN,BJA25K_C+0014_R-0017,13,11,0.09276617105056639,OK
E_SECONDARY_WATER_BALANCE_MEAN,BJA25K_C+0015_R-0018,14,11,0.080358784197818,OK
E_SECONDARY_WATER_BALANCE_MEAN,BJA25K_C+0016_R-0018,14,11,0.06919631760559347,OK
E_SECONDARY_WATER_BALANCE_MEAN,BJA25K_C-0010_R+0013,14,11,0.0641311385027018,OK
E_SECONDARY_WATER_BALANCE_MEAN,BJA25K_C-0011_R+0015,14,11,0.05440753733590261,OK
E_SECONDARY_WATER_BALANCE_MEAN,BJA25K_C-0011_R+0016,14,11,0.053291026767085636,OK
E_SECONDARY_WATER_BALANCE_MEAN,BJA25K_C-0012_R+0018,14,11,0.062376589869039545,OK
E_SECONDARY_WATER_BALANCE_MEAN,BJA25K_C-0012_R+0019,14,11,0.055994437142296544,OK
E_SECONDARY_WATER_BALANCE_MEAN,BJA25K_C-0013_R+0019,14,11,0.057969829351564556,OK
E_SECONDARY_VEGETATION_MEAN,BJA25K_C+0013_R-0015,13,11,-0.06420292016104306,OK
E_SECONDARY_VEGETATION_MEAN,BJA25K_C+0013_R-0016,13,11,-0.04283089400459472,OK
E_SECONDARY_VEGETATION_MEAN,BJA25K_C+0013_R-0018,14,11,-0.4263830439223481,OK
E_SECONDARY_VEGETATION_MEAN,BJA25K_C+0014_R-0017,13,11,-0.07026475124105758,OK
E_SECONDARY_VEGETATION_MEAN,BJA25K_C+0015_R-0018,14,11,-0.050917631175261824,OK
E_SECONDARY_VEGETATION_MEAN,BJA25K_C+0016_R-0018,14,11,-0.08634372236020144,OK
E_SECONDARY_VEGETATION_MEAN,BJA25K_C-0010_R+0013,14,11,-0.06007067752482809,OK
E_SECONDARY_VEGETATION_MEAN,BJA25K_C-0011_R+0015,14,11,-0.07042792124925817,OK
E_SECONDARY_VEGETATION_MEAN,BJA25K_C-0011_R+0016,14,11,0.013437450617895969,OK
E_SECONDARY_VEGETATION_MEAN,BJA25K_C-0012_R+0018,14,11,-0.06962101128416637,OK
E_SECONDARY_VEGETATION_MEAN,BJA25K_C-0012_R+0019,14,11,-0.10093718854082889,OK
E_SECONDARY_VEGETATION_MEAN,BJA25K_C-0013_R+0019,14,11,0.010608426238593982,OK
E_INDEPENDENT_MODIS_LST_P95,BJA25K_C+0013_R-0015,13,11,-0.20594042526040535,OK
E_INDEPENDENT_MODIS_LST_P95,BJA25K_C+0013_R-0016,13,11,-0.015204673307208087,OK
E_INDEPENDENT_MODIS_LST_P95,BJA25K_C+0013_R-0018,14,11,-0.2249101897266006,OK
E_INDEPENDENT_MODIS_LST_P95,BJA25K_C+0014_R-0017,13,11,-0.001164005351247594,OK
E_INDEPENDENT_MODIS_LST_P95,BJA25K_C+0015_R-0018,14,11,-0.086126203513473,OK
E_INDEPENDENT_MODIS_LST_P95,BJA25K_C+0016_R-0018,14,11,-0.17646587725101012,OK
E_INDEPENDENT_MODIS_LST_P95,BJA25K_C-0010_R+0013,14,11,-0.28983550568278194,OK
E_INDEPENDENT_MODIS_LST_P95,BJA25K_C-0011_R+0015,14,11,-0.1346761965500263,OK
E_INDEPENDENT_MODIS_LST_P95,BJA25K_C-0011_R+0016,14,11,-0.03017478832519571,OK
E_INDEPENDENT_MODIS_LST_P95,BJA25K_C-0012_R+0018,14,11,-0.11368394068327034,OK
E_INDEPENDENT_MODIS_LST_P95,BJA25K_C-0012_R+0019,14,11,-0.20045413448203603,OK
E_INDEPENDENT_MODIS_LST_P95,BJA25K_C-0013_R+0019,14,11,0.1745390648404179,OK
E_INDEPENDENT_CHIRPS_PRECIP,BJA25K_C+0013_R-0015,13,11,0.34699004974956066,OK
E_INDEPENDENT_CHIRPS_PRECIP,BJA25K_C+0013_R-0016,13,11,0.2209829042426402,OK
E_INDEPENDENT_CHIRPS_PRECIP,BJA25K_C+0013_R-0018,14,11,0.37003681012890316,OK
