stress_change_z,median,q025,q975
-1.3668171993370906,-0.3457671378360421,-0.598557088712177,-0.06584478229433477
-1.3488848395488529,-0.3422115600511643,-0.5925512080522564,-0.06488555674546766
-1.3309524797606151,-0.33875572067725634,-0.5871447496698811,-0.06411419417961857
-1.3130201199723777,-0.3350681520283369,-0.5815989488320197,-0.06316464851399345
-1.29508776018414,-0.33148189981094756,-0.5752315842816793,-0.062133191575411535
-1.2771554003959023,-0.3280370470758991,-0.569427545749631,-0.06072801314756431
-1.2592230406076648,-0.3244349362251745,-0.5635685711010049,-0.05981751316731123
-1.241290680819427,-0.3208076688665061,-0.5579882685619578,-0.05840141334754145
-1.2233583210311894,-0.317144667036123,-0.5524952555719008,-0.05700639967755599
-1.2054259612429516,-0.3134834276372088,-0.5466878538696963,-0.05560274816596855
-1.187493601454714,-0.3099181369090115,-0.5412542110290258,-0.054510028699381416
-1.1695612416664765,-0.30636793209970015,-0.5355646103124889,-0.05298683401395479
-1.1516288818782388,-0.30271674684137945,-0.5297747840708195,-0.051824879508797175
-1.133696522090001,-0.299188092283303,-0.5247801002486562,-0.051130114179978016
-1.1157641623017636,-0.2954901957168412,-0.5195486569991977,-0.04969175805884983
-1.0978318025135259,-0.29180449265309394,-0.5132558969463161,-0.0488647242164808
-1.0798994427252882,-0.2881162855379022,-0.5078167269686444,-0.04780425415532435
-1.0619670829370504,-0.2843046213095982,-0.5021075918771616,-0.04638442824826619
-1.0440347231488127,-0.2807578734710996,-0.4972539413545078,-0.04476729433757546
-1.0261023633605753,-0.277201057966145,-0.49179193482872646,-0.04305527787567892
-1.0081700035723375,-0.2735847654206768,-0.486725120381533,-0.0416533090950565
-0.9902376437840998,-0.26999291145025284,-0.4807616596417746,-0.04055954073137772
-0.9723052839958622,-0.26633181844005493,-0.47525235946188477,-0.03877025853374361
-0.9543729242076247,-0.26283279058910164,-0.4698155553002254,-0.03755395892249455
-0.936440564419387,-0.2592477338778097,-0.46379024476535397,-0.03625604653587994
-0.9185082046311492,-0.25556710413057665,-0.45777257916862496,-0.0343378322534019
-0.9005758448429116,-0.25191374180828247,-0.45209316030628416,-0.0324303984882643
-0.882643485054674,-0.2482080830833831,-0.4464120445910289,-0.03137917924670839
-0.8647111252664363,-0.2444757051623025,-0.44080652731388864,-0.0296530091183517
-0.8467787654781986,-0.24084937096763628,-0.4356120146524029,-0.028218743248736373
-0.828846405689961,-0.23724262249112293,-0.4303830271589912,-0.02667076277304164
-0.8109140459017234,-0.2336857635556489,-0.42504795162920145,-0.02515419748093044
-0.7929816861134857,-0.23005420555296302,-0.4193609801079915,-0.023362436194845855
-0.775049326325248,-0.22629154150412933,-0.4141957755434257,-0.02150750137379827
-0.7571169665370104,-0.2226719440910826,-0.40896261465188377,-0.019798823355749652
-0.7391846067487728,-0.2191416478744893,-0.4034077943493143,-0.017919205403802912
-0.7212522469605351,-0.2155164162430606,-0.39826810271301366,-0.016045667985361185
-0.7033198871722974,-0.2120098951644342,-0.39297824211037813,-0.014004978656716748
-0.6853875273840598,-0.2084451346750518,-0.38800295843800336,-0.012049186259698315
-0.6674551675958222,-0.20503475259831605,-0.38266968981042787,-0.010479102938415558
-0.6495228078075845,-0.2014280949532783,-0.37776666307826084,-0.008532802369041841
-0.6315904480193468,-0.19808483502374707,-0.3724212248825856,-0.006927327969248372
-0.6136580882311092,-0.1946503700831269,-0.3677872603672128,-0.004952556108068696
-0.5957257284428716,-0.19108921607166368,-0.3628187281910963,-0.002143203683111795
-0.5777933686546339,-0.18751843932896095,-0.3578306631024157,-0.00045828238997693276
-0.5598610088663962,-0.18391136054149176,-0.3550782639021204,0.001258454843094929
-0.5419286490781586,-0.18031958141394652,-0.3523698511986616,0.003406506238475728
-0.523996289289921,-0.1768090687659277,-0.3486559240873287,0.004986082739692113
-0.5060639295016833,-0.17304936819221994,-0.3453411321304326,0.0072142533562037274
-0.4881315697134456,-0.1694005069018183,-0.34212661823206364,0.009423416781757787
-0.47019920992520803,-0.16573658365261698,-0.338487705363432,0.011678171429653276
-0.45226685013697043,-0.16215650679792568,-0.33492750888179645,0.014124120012247901
-0.4343344903487327,-0.15875117854112675,-0.330705267628253,0.016545139754805465
-0.416402130560495,-0.15511848589123023,-0.3268175949903818,0.0191236383441339
-0.3984697707722574,-0.15152128190474395,-0.3225880717660004,0.02122712667642967
-0.38053741098401983,-0.14798651228268714,-0.31792842619476175,0.023421107938440912
-0.3626050511957821,-0.14441666322345514,-0.31326721500123517,0.026629209784940426
-0.3446726914075444,-0.14086436822996712,-0.3091205610082117,0.02999403268822806
-0.3267403316193067,-0.13737777565607928,-0.30476283979803975,0.032793727958410006
-0.30880797183106923,-0.1336702006539922,-0.3002135695512361,0.03543331079200197
-0.2908756120428315,-0.12985932502247474,-0.2962265950514449,0.03843520536270542
-0.2729432522545938,-0.12635244965338116,-0.29203592116493304,0.04125454332881343
-0.25501089246635633,-0.12272613263699478,-0.28825497019171203,0.04447409129388346
-0.23707853267811863,-0.11911037023961282,-0.2841693467376863,0.04751079626625188
-0.21914617288988092,-0.1155002060309697,-0.2808300476330583,0.05076331362606969
-0.2012138131016432,-0.11183819467514804,-0.2773132513930743,0.05388466513370313
-0.1832814533134055,-0.1081218852186736,-0.27331877622868067,0.05706925007849426
-0.16534909352516802,-0.10440477271459209,-0.26940001869153013,0.0597429126272115
-0.14741673373693032,-0.10081993373809425,-0.26529044711336114,0.06299265820695088
-0.1294843739486926,-0.09713098724681384,-0.26176879991512936,0.06628628869641151
-0.11155201416045513,-0.09356005692533856,-0.2583989147831928,0.06919335971014227
-0.09361965437221742,-0.08950643038206613,-0.2549035688242626,0.07249486297994798
-0.07568729458397971,-0.0857763949157469,-0.25150782110903885,0.07556458041550518
-0.05775493479574201,-0.08214432627683821,-0.248248325993915,0.07905925874754152
-0.0398225750075043,-0.07864200097719272,-0.24440577741993733,0.08278518040167553
-0.021890215219266818,-0.0749849098016436,-0.24151012615419648,0.08643729071459491
-0.003957855431029111,-0.07135226226988713,-0.2377577044525979,0.09014932944246737
0.013974504357208595,-0.06770223393705987,-0.2343510136647035,0.0933271710262637
0.03190686414544608,-0.06413719027700475,-0.23129113193827516,0.09712734257387429
0.049839223933683785,-0.06061706098075635,-0.2284112934168186,0.10125464729866454
0.06777158372192149,-0.05670847493961243,-0.22539540939578276,0.10465537233915775
0.0857039435101592,-0.05305805799357233,-0.22241065707659827,0.10790904521188512
0.1036363032983969,-0.04963763246947123,-0.21955043718663728,0.1119029506892967
0.12156866308663439,-0.04609395020689688,-0.21664378421358718,0.11571622423223651
0.1395010228748721,-0.042411224151059544,-0.21382490638268756,0.11919517590462497
0.1574333826631098,-0.03880757180321387,-0.2114798436796772,0.1232109887146914
0.17536574245134728,-0.03520496898049802,-0.2082660025748889,0.12717221168486254
0.193298102239585,-0.03160994844839779,-0.20527385006086704,0.13158348313733664
0.2112304620278227,-0.028115338349095388,-0.20324793656683132,0.13590276183953268
0.2291628218160604,-0.024576794138643967,-0.20088100575715245,0.13995963045260287
0.2470951816042981,-0.020958851607469582,-0.19819813295056793,0.14395580939283031
0.2650275413925356,-0.01747571955848448,-0.19582133476495817,0.14870316341596457
0.2829599011807733,-0.013856087836234005,-0.19325136084912525,0.15304442722153597
0.300892260969011,-0.010279046597816054,-0.1909812343665206,0.15709808632653355
0.3188246207572485,-0.006635129123504228,-0.18860691783758765,0.16151619162501102
0.3367569805454862,-0.0029664789133503483,-0.18591237209057837,0.16609520208850856
0.3546893403337239,0.0006916903360838778,-0.1836286836713523,0.17079248730029092
0.3726217001219616,0.004172699215361869,-0.18133416789305798,0.17559193943932097
0.3905540599101993,0.00781515524343528,-0.17908704824209018,0.17947981448295888
0.4084864196984368,0.01143888433069417,-0.17705538939909812,0.1838503156341283
0.4264187794866745,0.0150524681181946,-0.17483647077348957,0.18819868578806065
0.4443511392749122,0.018674985428513403,-0.1725944113498113,0.19295211174218618
0.4622834990631497,0.022334051503113215,-0.17078430592711494,0.19812824357622622
0.4802158588513874,0.025946162925571222,-0.16931238810236907,0.20298942157803943
0.4981482186396251,0.029594044226185213,-0.16702738086718555,0.20759357183205324
0.5160805784278628,0.03314957388525698,-0.16526382534367495,0.21216822732343568
0.5340129382161005,0.03675827269750953,-0.16383132194794342,0.2171914351784328
0.551945298004338,0.040515802206600254,-0.16231516262866452,0.2223601457098685
0.5698776577925757,0.04409701401835395,-0.1608842386523724,0.2274941214038283
0.5878100175808134,0.04786217269366856,-0.1595685564254313,0.23300798212986845
0.6057423773690509,0.05151512439211972,-0.15726684669241808,0.2383856616485977
0.6236747371572886,0.055219484562106964,-0.1562587740484528,0.24342911879423818
0.6416070969455263,0.05886150964383879,-0.15549704476848614,0.24889599801676038
0.6595394567337638,0.062417045607016164,-0.15396203855008964,0.25453434162909133
0.6774718165220017,0.06609917494977668,-0.15197767310876842,0.2598092634853757
0.6954041763102392,0.06961366472524261,-0.15057546134780997,0.26546662801085696
0.7133365360984771,0.07333463791142868,-0.14897536332100067,0.2709631893409806
0.7312688958867146,0.07707438259466648,-0.1469713618388853,0.27624913545952035
0.7492012556749521,0.08084898328890044,-0.1451936006841155,0.2814186800580715
0.76713361546319,0.08457095155753311,-0.14401160131975174,0.2864419628785901
0.7850659752514275,0.08812536177914126,-0.1421165147954248,0.29160117000178903
0.802998335039665,0.09165368180246598,-0.1407855561523935,0.29735689326856873
0.8209306948279029,0.09528542141672694,-0.1397723668677336,0.3023184556475387
0.8388630546161404,0.09895570874789897,-0.13864034709375744,0.3078860259833893
0.8567954144043779,0.10266052555255402,-0.1378504977617872,0.3130273212980107
0.8747277741926158,0.10641805447375673,-0.13643635571442353,0.3181783884437834
0.8926601339808533,0.10989174438796885,-0.13517134088933727,0.3236567814865972
0.9105924937690912,0.11340160100093913,-0.13441119580694344,0.3293934740182305
0.9285248535573287,0.1169735185763296,-0.13411026023886563,0.3348637263044276
0.9464572133455662,0.12051158568836606,-0.13270048587939196,0.3397052161780003
0.9643895731338041,0.12395847906865562,-0.13171746447884375,0.3454286077450989
0.9823219329220416,0.12754346652360532,-0.13017279594400813,0.3504232590698996
1.0002542927102795,0.13111621900916093,-0.12927258999278513,0.355544520103105
1.018186652498517,0.13460257178530877,-0.12818840920405483,0.36088097110737594
1.0361190122867545,0.13791728208553602,-0.12681724243291484,0.3672650868943233
1.0540513720749924,0.1414682689705959,-0.1261887777816549,0.37324606420709233
1.07198373186323,0.14505065302953934,-0.12485384741609551,0.3784865319390496
1.0899160916514674,0.14845007481734074,-0.12375524978959622,0.3846442768037147
1.1078484514397053,0.15195681236975064,-0.12259498651245072,0.3902039897445357
1.1257808112279428,0.1553985821805369,-0.12192807657163052,0.39575065231615997
1.1437131710161803,0.15898920251139073,-0.12105506249338753,0.4013555876139334
1.1616455308044182,0.16235691721122086,-0.1204612046967352,0.4069258288273111
1.1795778905926557,0.16559816049989215,-0.11910879545961917,0.41277630241570595
1.1975102503808936,0.16887786003604124,-0.1182469180852596,0.4184562694181099
1.2154426101691311,0.17237645463099022,-0.11720308413525353,0.42403981533121715
1.2333749699573686,0.1759448118414601,-0.11654853193245901,0.42972719534921194
1.2513073297456065,0.17944801874059985,-0.1155494881860018,0.43519888241061516
1.269239689533844,0.18301400290039074,-0.1143982083884953,0.44091903245991587
1.287172049322082,0.1864242173137028,-0.11333681917237068,0.44654655201647886
1.3051044091103194,0.18998399662561255,-0.11292220882089525,0.4526378107832258
1.323036768898557,0.19363048697622626,-0.1123415368738912,0.45873206249636606
1.3409691286867949,0.19713453665489264,-0.11108233950064339,0.4651878011038079
1.3589014884750323,0.20089835879706364,-0.10919713770594919,0.47118858487193027
1.3768338482632698,0.2043613852217967,-0.1082084167742051,0.4764809970426727
1.3947662080515077,0.20785388111469136,-0.10828538334579237,0.48297954643634383
1.4126985678397452,0.21154297936560246,-0.10859557787416026,0.4883761389603524
1.4306309276279827,0.21534783936361923,-0.10754867599409103,0.4942775652924849
1.4485632874162206,0.21890332397736018,-0.10664478755118784,0.5005200675191297
1.4664956472044581,0.22255601001897252,-0.10621927985313377,0.5067036386569798
1.484428006992696,0.2261432374213734,-0.1050775267700963,0.512530111189304
1.5023603667809335,0.22958149790887578,-0.10480414209995283,0.5181072779482192
1.520292726569171,0.23309448106565217,-0.10391166575517445,0.5241925129615183
1.538225086357409,0.23661688156401217,-0.10275022374377132,0.5300784388028611
1.5561574461456464,0.24034091412347758,-0.10129102628719591,0.5359025066630778
1.5740898059338844,0.24381122623412,-0.10051635225016081,0.5415709020968587
1.5920221657221219,0.24756983637349494,-0.09995874707000618,0.5479442140690396
1.6099545255103593,0.251081611939837,-0.09919464276947895,0.5543787209562051
1.6278868852985973,0.2547003507606377,-0.09865764918976358,0.5603376065175831
1.6458192450868347,0.25830690961600067,-0.09772327054956313,0.5659915374082749
1.6637516048750722,0.26193751023233314,-0.09673866243983288,0.5716469475477903
1.6816839646633102,0.2653357977890404,-0.09657238153555546,0.5782697554252815
1.6996163244515476,0.2687083750192763,-0.09582824758719355,0.5843223421610015
1.7175486842397851,0.2720641677192612,-0.0950982859140225,0.5903801536527761
1.735481044028023,0.2756757554803228,-0.09507810509364763,0.5967752480481527
1.7534134038162605,0.27922702351786033,-0.09352755257161012,0.6026978563657467
1.7713457636044985,0.28288500080971923,-0.0928719488303758,0.6085514370625542
1.789278123392736,0.2865105538808568,-0.09252410928916478,0.6151437850817869
1.8072104831809734,0.28998367575623774,-0.09211284770753371,0.6211840286650775
1.8251428429692114,0.29366696057412006,-0.09115557939573518,0.627633461782574
1.8430752027574488,0.29714535350032106,-0.0900099670022885,0.6335812107152677
1.8610075625456868,0.30066731176564904,-0.08977464179643582,0.6400338787047191
1.8789399223339243,0.304333164218902,-0.08887421188237675,0.6462321526546385
1.8968722821221617,0.30799571233013034,-0.0883993138478903,0.6521137216469731
1.9148046419103997,0.31167439741659764,-0.08743522445414827,0.6579196333967708
1.9327370016986372,0.3153233785283866,-0.08651862166798621,0.663585970325575
1.9506693614868746,0.31898458370097615,-0.08578531210986279,0.669589583560315
1.9686017212751126,0.3225165338465277,-0.08534244777649154,0.676321084357241
1.98653408106335,0.32613666884681913,-0.0846122370207138,0.6819769423245079
2.0044664408515875,0.3295610906339082,-0.08380872563565482,0.6879888358123752
2.0223988006398255,0.3330600256855582,-0.08290152186476862,0.6940422941626374
2.040331160428063,0.33669384868745866,-0.08185070032578028,0.7003359642477984
2.058263520216301,0.34009068232167916,-0.08048413516515099,0.7067425067092796
2.0761958800045384,0.34357986494753245,-0.07951609826080266,0.7129125911983049
2.094128239792776,0.34733044410156805,-0.07832396763100935,0.7191370693210428
2.1120605995810138,0.3508229309836167,-0.07809337542233694,0.725637001189218
2.1299929593692513,0.3545575330483025,-0.0783086824706657,0.732155188438462
2.147925319157489,0.3580469506495393,-0.0776915619517465,0.7388171520208767
2.1658576789457267,0.3615897960922365,-0.07660629694210519,0.7447528757099039
2.183790038733964,0.3652573871234026,-0.07620421637352083,0.7508217835409773
2.201722398522202,0.36899202549126964,-0.07546178305520242,0.7571834029653977
