"case_id","response","model","term","estimate","std_error","statistic","p_value","ci_low","ci_high","n"
"C3_occ5_primary","log1p_total_tolerance","occupancy_plus_order_adjusted","ballooning_binary",-0.0370172181596887,0.0621193872372902,-0.595904431869015,0.553408390973184,-0.161192103902599,0.0871576675832212,73
"C3_occ5_primary","log1p_OMI","occupancy_plus_order_adjusted","ballooning_binary",0.119362440827853,0.118203498684,1.0098046348607,0.316513694168804,-0.116922986255155,0.355647867910861,73
"C3_occ10","log1p_total_tolerance","occupancy_plus_order_adjusted","ballooning_binary",-0.0469803185086771,0.0655161796127556,-0.71707964027149,0.478526792078876,-0.18043240929802,0.0864717722806657,39
"C3_occ10","log1p_OMI","occupancy_plus_order_adjusted","ballooning_binary",0.0527753262196068,0.122163277171845,0.432006470695517,0.668633834571988,-0.196063126398082,0.301613778837295,39
"C1_occ5","log1p_total_tolerance","occupancy_plus_order_adjusted","ballooning_binary",-0.0676890453451761,0.0743583566397574,-0.910308516810128,0.367405324514908,-0.217364654168225,0.0819865634778729,57
"C1_occ5","log1p_OMI","occupancy_plus_order_adjusted","ballooning_binary",0.127720297771238,0.154834454419656,0.824882925767093,0.413695273180522,-0.183945294091179,0.439385889633655,57
"C2_occ5","log1p_total_tolerance","occupancy_plus_order_adjusted","ballooning_binary",-0.0370172181596887,0.0621193872372902,-0.595904431869015,0.553408390973184,-0.161192103902599,0.0871576675832212,73
"C2_occ5","log1p_OMI","occupancy_plus_order_adjusted","ballooning_binary",0.119362440827853,0.118203498684,1.0098046348607,0.316513694168804,-0.116922986255155,0.355647867910861,73
"C4_occ5","log1p_total_tolerance","occupancy_plus_order_adjusted","ballooning_binary",-0.0343589915167946,0.0562869463526944,-0.610425573657895,0.543475723880512,-0.146538713822831,0.0778207307892416,84
"C4_occ5","log1p_OMI","occupancy_plus_order_adjusted","ballooning_binary",0.0928150407066396,0.110097037289583,0.843029412885224,0.401965801375305,-0.126608038180487,0.312238119593766,84
"C3_occ5_taxonomy_strict","log1p_total_tolerance","occupancy_plus_order_adjusted","ballooning_binary",-0.0340643496997801,0.0630140927815935,-0.540583037795163,0.590731847687303,-0.160027726341884,0.0918990269423239,73
"C3_occ5_taxonomy_strict","log1p_OMI","occupancy_plus_order_adjusted","ballooning_binary",0.107524105239825,0.118039131571399,0.910919148662039,0.365866045603002,-0.128432756666757,0.343480967146408,73
