prior_label,stress_prior_sd,prior_predictive_fraction_outside_minus1_plus1,prior_predictive_q005,prior_predictive_q995
skeptical,0.15,0.08425333333333333,-1.7603074624548598,1.7451505387898447
regular_primary,0.25,0.09722,-1.8097311640387326,1.792352800876436
broad,0.5,0.15921333333333335,-2.2063670475410393,2.1840371488354955
