prior_label,stress_prior_sd,posterior_median,posterior_q025,posterior_q975,posterior_probability_beta_gt_0,posterior_probability_beta_gt_0_10,posterior_probability_abs_beta_le_0_05,stress_beta_rhat,stress_beta_ess_bulk_approx
skeptical,0.15,0.16764565494129374,0.004752483736236808,0.31827342350660903,0.9782,0.8048,0.0655,1.0063577077866306,86.44795738123908
regular_primary,0.25,0.2034985533545493,0.02558963175271688,0.3564071497039175,0.9885,0.8762,0.0404,1.0055202007318724,193.69521869262954
broad,0.5,0.20463823918122512,0.02757046459803511,0.3794780666356745,0.987,0.8951,0.0385,1.003279674877851,116.8315215554136
