grid_cell_id,grid_cell_order,centroid_latitude,centroid_longitude,latitude_band,C3_richness,N0_richness,classified_richness_C3_plus_N0,C3_fraction,dominant_ecoregion,second_ecoregion,dominant_overlap_km2,second_overlap_km2,ecoregion_covered_km2,full_cell_area_km2,dominant_fraction_of_covered_land,second_fraction_of_covered_land,dominant_minus_second_fraction,dominant_fraction_of_full_cell,ecoregion_coverage_fraction,centroid_ecoregion,centroid_on_ecoregion_boundary,centroid_outside_mapped_mainland,centroid_agrees_with_dominant,ambiguous_dominant_assignment,low_mapped_land_coverage,primary_assignment_eligible,sensitivity_unambiguous_eligible,ecoregion_overlap_count_any,ecoregion_overlap_count_ge1pct_mapped,ecoregion_overlap_count_ge5pct_mapped,ecoregion_overlap_count_ge1pct_full_cell,ecoregion_overlap_shannon,ecoregion_effective_number,ecoregion_overlap_simpson_diversity,overlaps_Costa_Central_del_Golfo,overlaps_Sierra_de_la_Giganta,overlaps_Costa_Golfo_and_Sierra_Giganta,dominant_second_Costa_Golfo_Sierra_Giganta_interface,rook_neighbor_degree,local_unique_dominant_ecoregions_focal_plus_neighbors,adjacent_cross_boundary_edges,adjacent_cross_boundary_fraction,local_distinct_ecoregion_interfaces,distance_to_Mulege_km,Mulege_focal_primary_75km,Mulege_focal_sensitivity_50km,Mulege_focal_sensitivity_100km,Mulege_focal_sensitivity_125km,central_Gulf_latitude_corridor_26p4_27p4,inverse_dominant_fraction,z_effective_ecoregions,z_overlap_count_ge1pct,z_local_unique_ecoregions,z_adjacent_cross_boundary_fraction,z_inverse_dominant_fraction,ecoregion_junction_score_components_available,ecoregion_junction_score_primary,ecoregion_junction_score_primary_eligible
BJA25K_C+0013_R-0020,1,23.0758711,-110.2025688,23-24N,0,1,1,0.0,Matorrales Tropicales,,77.1176222632441,0.0,77.1176222632441,623.487666607093,1.0,0.0,1.0,0.123687486366658,0.123687486366658,,False,True,False,False,False,True,True,1,1,1,1,-0.0,1.0,0.0,False,False,False,False,2,1,0,0.0,0,460.37553053261314,False,False,False,False,False,0.0,-0.757147538817445,-0.9050812744111771,-0.9007158990918056,-0.9005814331923898,-0.7354448908226539,5,-0.8397942072670942,True
BJA25K_C+0014_R-0020,2,23.0699,-109.9583628,23-24N,0,1,1,0.0,Matorrales Tropicales,Selvas Bajas del Cabo,368.632650061749,193.965036438637,620.624017022662,623.487106066154,0.59397097107231,0.312532275771652,0.281438695300658,0.591243421836915,0.995407941855355,Selvas Bajas del Cabo,False,False,False,False,False,True,True,3,3,3,3,0.894475396705656,2.44605224574986,0.5407804192736876,False,False,False,False,3,2,1,0.3333333333333333,1,471.09450381049584,False,False,False,False,False,0.40602902892769,2.1011751364201428,1.810162548822354,0.541956176572188,0.17604257417815697,1.7313294001275015,5,1.2721331672240688,True
BJA25K_C+0015_R-0020,3,23.0635028,-109.714167,23-24N,18,32,50,0.36,Matorrales Tropicales,Selvas Bajas del Cabo,403.220350683722,35.3238882170367,439.339882671987,623.486633508579,0.917786812868906,0.0804021888525192,0.837384624016386,0.646718516505573,0.704650042294679,Matorrales Tropicales,False,False,True,False,False,True,True,3,2,2,2,0.29284239783308746,1.3402315503896687,0.15119957443689525,False,False,False,False,3,1,0,0.0,0,482.87382410977784,False,False,False,False,False,0.08221318713109405,-0.08463272604473084,0.45254063720558846,-0.9007158990918056,-0.9005814331923898,-0.2359698239101992,5,-0.3338718490067074,True
BJA25K_C+0016_R-0020,4,23.0566794,-109.4699823,23-24N,3,6,9,0.3333333333333333,Matorrales Tropicales,,66.4308288517623,0.0,66.4308288517623,623.485696701567,1.0,0.0,1.0,0.106547478479782,0.106547478479782,,False,True,False,False,False,True,True,1,1,1,1,-0.0,1.0,0.0,False,False,False,False,2,1,0,0.0,0,495.63816636941243,False,False,False,False,False,0.0,-0.757147538817445,-0.9050812744111771,-0.9007158990918056,-0.9005814331923898,-0.7354448908226539,5,-0.8397942072670942,True
BJA25K_C+0013_R-0019,5,23.3007157,-110.1967726,23-24N,13,10,23,0.5652173913043478,Matorrales Tropicales,,256.903271788995,0.0,256.903271788995,623.511543049593,1.0,0.0,1.0,0.412026488767925,0.412026488767925,,False,True,False,False,False,True,True,1,1,1,1,-0.0,1.0,0.0,False,False,False,False,3,2,1,0.3333333333333333,1,437.62575070014543,False,False,False,False,False,0.0,-0.757147538817445,-0.9050812744111771,0.541956176572188,0.17604257417815697,-0.7354448908226539,5,-0.3359349906601862,True
BJA25K_C+0014_R-0019,6,23.2947229,-109.9521386,23-24N,6,8,14,0.4285714285714285,Bosques de la Sierra de la Laguna,Selvas Bajas del Cabo,241.133924762904,214.26897391613,623.510932133347,623.510932133346,0.386735680700677,0.343649105209763,0.0430865754909142,0.386735680700678,1.0,Bosques de la Sierra de la Laguna,False,False,True,True,False,True,False,3,3,3,3,1.0878682913475881,2.967940539809617,0.659648442092954,False,False,False,False,4,2,3,0.75,1,448.8865334977,False,False,False,False,False,0.613264319299323,3.132759679258373,1.810162548822354,0.541956176572188,1.5218225833913406,2.990359297118869,5,1.9994120570326248,True
BJA25K_C+0015_R-0019,7,23.2883023,-109.7075151,23-24N,9,13,22,0.4090909090909091,Matorrales Tropicales,Selvas Bajas del Cabo,591.50141210097,27.3285781188877,623.510329076519,623.510329076521,0.948663373351076,0.0438301930929741,0.904833180258102,0.948663373351073,0.999999999999997,Matorrales Tropicales,False,False,True,False,False,True,True,3,2,1,2,0.2237931538366581,1.2508122669498265,0.09806037169085913,False,False,False,False,4,2,1,0.25,1,461.231538810803,False,False,False,False,False,0.05133662664892402,-0.2613823325757593,0.45254063720558846,0.541956176572188,-0.09311342766447968,-0.42355617898322256,5,0.043288974910862976,True
BJA25K_C+0016_R-0019,8,23.2814541,-109.4629028,23-24N,4,3,7,0.5714285714285714,Matorrales Tropicales,,373.451415633387,0.0,373.451415633387,623.509363871387,1.0,0.0,1.0,0.59895077327246,0.59895077327246,Matorrales Tropicales,False,False,True,False,False,True,True,1,1,1,1,-0.0,1.0,0.0,False,False,False,False,3,1,0,0.0,0,474.576427460944,False,False,False,False,False,0.0,-0.757147538817445,-0.9050812744111771,-0.9007158990918056,-0.9005814331923898,-0.7354448908226539,5,-0.8397942072670942,True
BJA25K_C+0013_R-0018,9,23.5255433,-110.190919,23-24N,25,21,46,0.5434782608695652,Matorrales Tropicales,Planicies de Magdalena,379.228020392854,138.121738051561,556.891679985242,623.535316460051,0.680972681083876,0.248022628126212,0.432950052957664,0.608190122326697,0.893119708354035,Matorrales Tropicales,False,False,True,False,False,True,True,3,3,3,3,0.7952622091944371,2.215021719726092,0.4697193174406338,False,False,False,False,3,3,2,0.6666666666666666,2,415.1388210983511,False,False,False,False,False,0.319027318916124,1.6445112827131356,1.810162548822354,1.9846282522361816,1.2526665815487037,1.2027623119761457,5,1.5789461954593045,True
BJA25K_C+0014_R-0018,10,23.5195285,-109.9458527,23-24N,12,22,34,0.3529411764705882,Bosques de la Sierra de la Laguna,Selvas Bajas del Cabo,432.033219074297,172.262758786856,623.534658818113,623.534658818115,0.692877633928481,0.276268137385296,0.416609496543185,0.692877633928479,0.999999999999997,Bosques de la Sierra de la Laguna,False,False,True,False,False,True,True,3,3,2,3,0.7169307003651466,2.048137206644693,0.44264451723950715,False,False,False,False,4,3,3,0.75,2,426.9913093624744,False,False,False,False,False,0.307122366071519,1.3146409137215986,1.810162548822354,1.9846282522361816,1.5218225833913406,1.1304353857718727,5,1.5523379367886696,True
BJA25K_C+0015_R-0018,11,23.5130845,-109.7007972,23-24N,15,21,36,0.4166666666666667,Matorrales Tropicales,Selvas Bajas del Cabo,538.695972782404,52.2543381997378,618.871638714567,623.534238983097,0.870448634390981,0.0844348568117826,0.786013777579198,0.863939683025181,0.992522302742937,Matorrales Tropicales,False,False,True,False,False,True,True,3,3,2,3,0.4692695123302919,1.598825843971923,0.23315443047599904,False,False,False,False,4,2,1,0.25,1,439.94929196744397,False,False,False,False,False,0.12955136560901903,0.42651473436387577,1.810162548822354,0.541956176572188,-0.09311342766447968,0.05162685842098314,5,0.5474293781029843,True
BJA25K_C+0016_R-0018,12,23.5062112,-109.4557532,23-24N,9,16,25,0.36,Matorrales Tropicales,,264.811519280336,0.0,264.811519280336,623.533254278508,1.0,0.0,1.0,0.42469510240757,0.42469510240757,,False,True,False,False,False,True,True,1,1,1,1,-0.0,1.0,0.0,False,False,False,False,2,1,0,0.0,0,453.9184085230017,False,False,False,False,False,0.0,-0.757147538817445,-0.9050812744111771,-0.9007158990918056,-0.9005814331923898,-0.7354448908226539,5,-0.8397942072670942,True
BJA25K_C+0012_R-0017,13,23.7559605,-110.4305208,23-24N,0,1,1,0.0,Planicies de Magdalena,Costa Central del Golfo,556.952071942885,57.5971263756273,614.549198318513,623.560087012514,0.906277436317189,0.0937225636828111,0.812554872634378,0.893181079968173,0.985549285655577,Planicies de Magdalena,False,False,True,False,False,True,True,2,2,2,2,0.31106690606023507,1.364880536910756,0.16987728947906522,True,False,False,False,2,2,2,1.0,1,381.6927264482386,False,False,False,False,False,0.09372256368281096,-0.03591058802936845,0.45254063720558846,0.541956176572188,2.329290588919251,-0.16604616781689066,5,0.6243661293701537,True
BJA25K_C+0013_R-0017,14,23.7503546,-110.1850075,23-24N,14,15,29,0.4827586206896552,Costa Central del Golfo,Planicies de Magdalena,224.87330682599,166.410828605196,623.559474588725,623.559474588717,0.360628482109597,0.266872424182077,0.0937560579275196,0.360628482109602,1.00000000000001,Costa Central del Golfo,False,False,True,True,False,True,False,4,4,4,4,1.3449824811531983,3.838119300586929,0.728825111859623,True,False,False,False,4,4,3,0.75,3,392.95946100338614,False,False,False,False,False,0.6393715178904029,4.852788599894055,3.1677844604391194,3.4273003279001757,1.5218225833913406,3.148970040944959,5,3.2237332025139294,True
BJA25K_C+0014_R-0017,15,23.7443178,-109.9395046,23-24N,22,23,45,0.4888888888888889,Selvas Bajas del Cabo,Matorrales Tropicales,359.391374833323,171.311423669352,623.558765721904,623.558765721904,0.576355260465707,0.27473180249663,0.301623457969077,0.576355260465707,1.0,Selvas Bajas del Cabo,False,False,True,False,False,True,True,3,3,3,3,0.9561209377836577,2.6015851641901495,0.5701619876132766,False,False,False,False,4,4,4,1.0,3,405.45907157069047,False,False,False,False,False,0.42364473953429305,2.408607505361437,1.810162548822354,3.4273003279001757,2.329290588919251,1.838351260500261,5,2.362742446300696,True
